sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
,,14075,,0.12,APPROVED,EQUAL,Patrick Thoral,1685272212842,0,Unmapped,,MAPS_TO,,,0,
Huis,House,85,,0.12,APPROVED,EQUAL,Patrick Thoral,1685272252265,581476,Home Visit,Visit,MAPS_TO,,Patrick Thoral,1685272250452,
CCU/IC zelfde ziekenhuis,CCU/IC same hospital,296,,0.36,APPROVED,EQUAL,Patrick Thoral,1685235053479,581383,Inpatient Cardiac Care Facility,Visit,MAPS_TO,,Patrick Thoral,1685233122633,
Eerste Hulp afdeling zelfde ziekenhuis,First Aid department same hospital,2661,,0.48,APPROVED,EQUAL,Patrick Thoral,1685235054116,8870,Emergency Room - Hospital,Visit,MAPS_TO,,Patrick Thoral,1685233234196,
Recovery ander ziekenhuis,Recovery other hospital,6,,0.51,APPROVED,EQUAL,Patrick Thoral,1685235054810,581379,Inpatient Critical Care Facility,Visit,MAPS_TO,,Patrick Thoral,1685234884911,
Eerste Hulp afdeling ander ziekenhuis,First Aid department of another hospital,132,,0.43,APPROVED,EQUAL,Patrick Thoral,1685235061497,8870,Emergency Room - Hospital,Visit,MAPS_TO,,Patrick Thoral,1685234830890,
Operatiekamer vanaf verpleegafdeling zelfde ziekenhuis,Operating room from the nursing ward of the same hospital,5,,0.36,APPROVED,EQUAL,Patrick Thoral,1685235062136,8717,Inpatient Hospital,Visit,MAPS_TO,,Patrick Thoral,1685234818093,
Special/Medium care ander ziekenhuis,Special/Medium care other hospital,19,,0.58,APPROVED,EQUAL,Patrick Thoral,1685235063046,581379,Inpatient Critical Care Facility,Visit,MAPS_TO,,Patrick Thoral,1685234791246,
Operatiekamer vanaf Eerste Hulp afdeling zelfde ziekenhuis,Operating room from the emergency department of the same hospital,2,,0.58,APPROVED,EQUAL,Patrick Thoral,1685235065414,8870,Emergency Room - Hospital,Visit,MAPS_TO,,Patrick Thoral,1685234759924,
"Andere locatie zelfde ziekenhuis, transport per ambulance","Different location same hospital, transport by ambulance",5,,0.51,APPROVED,EQUAL,Patrick Thoral,1685235067955,8717,Inpatient Hospital,Visit,MAPS_TO,,Patrick Thoral,1685234239563,
Anders,Otherwise,53,,0.16,APPROVED,EQUAL,Patrick Thoral,1685235072144,0,Unmapped,,MAPS_TO,,,0,
Recovery zelfde ziekenhuis (alleen bij niet geplande IC-opname),Recovery same hospital (only in case of unplanned ICU admission),217,,0.26,APPROVED,EQUAL,Patrick Thoral,1685235075106,581379,Inpatient Critical Care Facility,Visit,MAPS_TO,,Patrick Thoral,1685234082957,
Verpleegafdeling ander ziekenhuis,Nursing ward of another hospital,91,,0.44,APPROVED,EQUAL,Patrick Thoral,1685235076260,8717,Inpatient Hospital,Visit,MAPS_TO,,Patrick Thoral,1685233985467,
Special/Medium care zelfde ziekenhuis,Special/Medium care same hospital,193,,0.59,APPROVED,EQUAL,Patrick Thoral,1685235077294,581379,Inpatient Critical Care Facility,Visit,MAPS_TO,,Patrick Thoral,1685233964009,
CCU/IC ander ziekenhuis,CCU/IC other hospital,239,,0.35,APPROVED,EQUAL,Patrick Thoral,1685235078226,581383,Inpatient Cardiac Care Facility,Visit,MAPS_TO,,Patrick Thoral,1685233786930,
Verpleegafdeling zelfde ziekenhuis,Nursing department of the same hospital,5027,,0.45,APPROVED,EQUAL,Patrick Thoral,1685235079147,8717,Inpatient Hospital,Visit,MAPS_TO,,Patrick Thoral,1685233981515,
