sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
Oncologie Inwendig,Oncology Internal,84,,0.54,APPROVED,EQUAL,Patrick Thoral,1685272059521,38004507,Medical Oncology,Provider,MAPS_TO,,<auto>,1685270784777,
Hematologie,Hematology,249,,1.00,APPROVED,EQUAL,Patrick Thoral,1685271719461,38004501,Hematology,Provider,MAPS_TO,,<auto>,1685270784789,
Nefrologie,Nephrology,389,,1.00,APPROVED,EQUAL,Patrick Thoral,1685272028411,38004479,Nephrology,Provider,MAPS_TO,,<auto>,1685270784790,
Neurochirurgie,Neurosurgery,2527,,1.00,APPROVED,EQUAL,Patrick Thoral,1685272031609,38004459,Neurosurgery,Provider,MAPS_TO,,<auto>,1685270784792,
Plastische chirurgie,Plastic surgery,40,,0.76,APPROVED,EQUAL,Patrick Thoral,1685272082188,38004467,Plastic And Reconstructive Surgery,Provider,MAPS_TO,,Patrick Thoral,1685272081445,
ders,der,64,,0.25,APPROVED,EQUAL,Patrick Thoral,1685272135499,0,Unmapped,,MAPS_TO,,,0,
Vaatchirurgie,Vascular surgery,1443,,1.00,APPROVED,EQUAL,Patrick Thoral,1685272098215,38004496,Vascular Surgery,Provider,MAPS_TO,,<auto>,1685270784915,
Orthopedie,Orthopedics,204,,0.66,APPROVED,EQUAL,Patrick Thoral,1685272067637,38004465,Orthopedic Surgery,Provider,MAPS_TO,,Patrick Thoral,1685272066796,
Obstetrie,Obstetrics,15,,1.00,APPROVED,EQUAL,Patrick Thoral,1685272054231,38003905,Obstetrics,Provider,MAPS_TO,,<auto>,1685270784981,
Heelkunde Gastro-enterologie,Surgery Gastroenterology,1205,,0.77,APPROVED,EQUAL,Patrick Thoral,1685271711731,38004447,General Surgery,Provider,MAPS_TO,,Patrick Thoral,1685271706053,
Verloskunde,Obstetrics,16,,1.00,APPROVED,EQUAL,Patrick Thoral,1685272108312,38003905,Obstetrics,Provider,MAPS_TO,,<auto>,1685270785036,
Intensive Care Volwassenen,Intensive Care Adults,1144,,0.34,APPROVED,EQUAL,Patrick Thoral,1685271792294,38004500,Critical care (intensivist),Provider,MAPS_TO,,Patrick Thoral,1685271791364,
Gynaecologie,Gynecology,180,,1.00,APPROVED,EQUAL,Patrick Thoral,1685271071239,38003902,Gynecology,Provider,MAPS_TO,,<auto>,1685270785267,
Traumatologie,Traumatology,1163,,0.64,APPROVED,EQUAL,Patrick Thoral,1685272094825,38004016,Trauma Surgery,Provider,MAPS_TO,,Patrick Thoral,1685272093582,
Cardiologie,Cardiology,1331,,1.00,APPROVED,EQUAL,Patrick Thoral,1685270872667,38004451,Cardiology,Provider,MAPS_TO,,<auto>,1685270785304,
Reumatologie,Rheumatology,4,,1.00,APPROVED,EQUAL,Patrick Thoral,1685272085042,38004491,Rheumatology,Provider,MAPS_TO,,<auto>,1685270785337,
Urologie,Urology,216,,1.00,APPROVED,EQUAL,Patrick Thoral,1685272096719,38004474,Urology,Provider,MAPS_TO,,<auto>,1685270785366,
,,1301,,0.00,APPROVED,EQUAL,Patrick Thoral,1685272129835,0,Unmapped,,MAPS_TO,,,0,
Cardiochirurgie,Cardiosurgery,7417,,0.67,APPROVED,EQUAL,Patrick Thoral,1685270867648,38004497,Cardiac Surgery,Provider,MAPS_TO,,<auto>,1685270785416,
Heelkunde Oncologie,Surgery Oncology,497,,0.72,APPROVED,EQUAL,Patrick Thoral,1685271552008,38004508,Surgical Oncology,Provider,MAPS_TO,,<auto>,1685270785427,
Inwendig,Internally,1364,,0.59,APPROVED,EQUAL,Patrick Thoral,1685271801495,38004456,Internal Medicine,Provider,MAPS_TO,,<auto>,1685270785458,
Oogheelkunde,Ophthalmology,5,,1.00,APPROVED,EQUAL,Patrick Thoral,1685272062518,38004463,Ophthalmology,Provider,MAPS_TO,,<auto>,1685270785513,
Neurologie,Neurology,786,,1.00,APPROVED,EQUAL,Patrick Thoral,1685272033880,38004458,Neurology,Provider,MAPS_TO,,<auto>,1685270785589,
Longziekte,Lung disease,482,,0.39,APPROVED,EQUAL,Patrick Thoral,1685271951824,38004472,Pulmonary Disease,Provider,MAPS_TO,,Patrick Thoral,1685271949363,
Mondheelkunde,Oral surgery,20,,1.00,APPROVED,EQUAL,Patrick Thoral,1685272024802,38004504,Maxillofacial Surgery,Provider,MAPS_TO,,Patrick Thoral,1685272016896,
Heelkunde Longen/Oncologie,Surgery Lungs/Oncology,395,,0.37,APPROVED,EQUAL,Patrick Thoral,1685271541415,38004473,Thoracic Surgery,Provider,MAPS_TO,,Patrick Thoral,1685271539271,
"Maag-,Darm-,Leverziekten","Stomach, intestinal, liver diseases",189,,0.22,APPROVED,EQUAL,Patrick Thoral,1685271974566,38004455,Gastroenterology,Provider,MAPS_TO,,Patrick Thoral,1685271973220,
"Keel, Neus & Oorarts","Throat, Nose & Ear Doctor",376,,0.21,APPROVED,EQUAL,Patrick Thoral,1685271890982,38004449,Otolaryngology,Provider,MAPS_TO,,Patrick Thoral,1685271886781,
