sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:vocabulary_id,ADD_INFO:vocabulary_concept_code,ADD_INFO:vocabulary_concept_name,ADD_INFO:source_concept,ADD_INFO:abbreviation,ADD_INFO:ordercategory,ADD_INFO:category,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
9023-29,Allopurinol (Zyloric),596,,,,,Allopurinol (Zyloric),Allopurinol,Niet iv CZS/Sedatie/Analgetica,Medicatie,0.52,APPROVED,EQUAL,Patrick Thoral,1696722173187,21053686,Allopurinol Oral Tablet [Zyloric],Drug,MAPS_TO,,<auto>,1686702624838,
14992-56,1/2 slice of meat,118,,,,,1/2 plak vleeswaar,1/2 plak vleeswaar,Voeding Vast voedsel,Voeding-Intake-Brood-Beleg,0.35,APPROVED,UNMATCHED,Patrick Thoral,1696614105763,4112439,Food,Observation,MAPS_TO,,Patrick Thoral,1696614099366,
14904-56,3/4 portion stew without meat,5,,,,,3/4 portie stamppot zonder vlees,3/4 portie stamppot zonder vlees,Voeding Vast voedsel,Voeding-Intake-Warme-maaltijd,0.15,APPROVED,INEXACT,Patrick Thoral,1696613357336,4037090,Cooked food,Observation,MAPS_TO,,Patrick Thoral,1696613350599,
13490-27,Methylene Blue IV (Methylthionide Chloride),4,,,,,Methyleenblauw IV (Methylthionide cloride),Methyleenblauw IV (Methylthionide cloride),Injecties Overig,Medicatie,0.52,APPROVED,EQUAL,Patrick Thoral,1690485631718,44109975,Methylene blue 10 MG/ML Injectable Solution,Drug,MAPS_TO,,Patrick Thoral,1690485630214,
9024-31,Algeldraat (Alucol),20,,,,,Algeldraat (Alucol),Algeldraat,Niet iv Tractus Digestivus,Medicatie,0.39,APPROVED,EQUAL,Patrick Thoral,1696722197484,43816742,Aluminum Hydroxide Oral Tablet [Algeldrate],Drug,MAPS_TO,,<auto>,1686702626154,
19215-69,Chlorhexidine Solution 4% (Hibiscrub),658,,,,,Chloorhexidine-oplossing 4% (Hibiscrub),Chloorhexidine-oplossing 4% (Hibiscrub),Niet iv Zalven/Crèmes/Druppels,Medicatie,0.54,APPROVED,EQUAL,Patrick Thoral,1696722213042,36061387,chlorhexidine 40 MG/ML Topical Solution [Hibiscrub],Drug,MAPS_TO,,Patrick Thoral,1696722211531,
14993-56,3/4 slice of meat,34,,,,,3/4 plak vleeswaar,3/4 plak vleeswaar,Voeding Vast voedsel,Voeding-Intake-Brood-Beleg,0.19,APPROVED,UNMATCHED,Patrick Thoral,1696614105763,4112439,Food,Observation,MAPS_TO,,Patrick Thoral,1696614099366,
9025-67,Pamidronic acid (APD),63,,,,,Pamidroninezuur (APD),Pamidroninezuur,Injecties Hormonen/Vitaminen/Mineralen,Medicatie,0.46,APPROVED,EQUAL,Patrick Thoral,1696722498107,36035943,pamidronate Injectable Solution,Drug,MAPS_TO,,Patrick Thoral,1696722496171,
14905-56,1 serving of dessert,806,,,,,1 portie nagerecht,1 portie nagerecht,Voeding Vast voedsel,Voeding-Intake-Warme-maaltijd,0.25,APPROVED,INEXACT,Patrick Thoral,1696613357336,4037090,Cooked food,Observation,MAPS_TO,,Patrick Thoral,1696613350599,
13490-65,Methylene Blue IV (Methylthionide Chloride),1,,,,,Methyleenblauw IV (Methylthionide cloride),Methyleenblauw IV (Methylthionide cloride),2. Spuitpompen,Medicatie,0.52,APPROVED,EQUAL,Patrick Thoral,1690485540265,44109975,Methylene blue 10 MG/ML Injectable Solution,Drug,MAPS_TO,,Patrick Thoral,1690485538243,
13042-39,StructoKabiven+Glutamine total parenteral nutrition (TPN),363,,ATC,B05BA10,combinations,TPV StructoKabiven+Glut,TPV StructoKabiven+Glut,Voeding Parenteraal,INFUUS-TPV,0.25,APPROVED,EQUAL,Patrick Thoral,1686954527422,41452242,1970 ML Acetic Acid 1.72 MG/ML / Alanine 7.1 MG/ML / Arginine 6 MG/ML / Calcium 0.284 MG/ML / Glucose 133 MG/ML / Glycerophosphoric Acid 2.13 MG/ML / Glycine 5.7 MG/ML / Histidine 1.54 MG/ML / ... Injectable Solution [Structokabiven],Drug,MAPS_TO,,Patrick Thoral,1686952227962,
13042-39,StructoKabiven+Glutamine total parenteral nutrition (TPN),363,,ATC,B05BA10,combinations,TPV StructoKabiven+Glut,TPV StructoKabiven+Glut,Voeding Parenteraal,INFUUS-TPV,0.25,APPROVED,EQUAL,Patrick Thoral,1686954527422,35754314,alanylglutamine 200 MG/ML Injectable Solution [Dipeptiven],Drug,MAPS_TO,,Patrick Thoral,1686954498475,
19216-32,Hydroxychloroquine (Plaquenil),88,,,,,Hydroxychloroquine (Plaquenil),Hydroxychloroquine (Plaquenil),Niet iv Overig,Medicatie,0.78,APPROVED,EQUAL,Patrick Thoral,1696722508579,40051596,hydroxychloroquine Oral Tablet [Plaquenil],Drug,MAPS_TO,,<auto>,1686702628460,
14994-56,1 boiled egg,542,,,,,1 gekookt ei,1 gekookt ei,Voeding Vast voedsel,Voeding-Intake-Brood-Beleg,0.33,APPROVED,UNMATCHED,Patrick Thoral,1696614105763,4112439,Food,Observation,MAPS_TO,,Patrick Thoral,1696614099366,
13498-119,macrogol,46471,,ATC,A06AD15,macrogol,Macrogol (Movicolon),Macrogol,Niet IV Groot Volume,Medicatie,1.00,APPROVED,EQUAL,Patrick Thoral,1686786183832,43868590,13700 MG Polyethylene Glycols 0.956 MG/MG / Potassium Chloride 0.00366 MG/MG / Sodium Bicarbonate 0.013 MG/MG / Sodium Chloride 0.0256 MG/MG Oral Powder,Drug,MAPS_TO,,Patrick Thoral,1686786180173,
14906-56,1/4 serving of dessert,64,,,,,1/4 portie nagerecht,1/4 portie nagerecht,Voeding Vast voedsel,Voeding-Intake-Warme-maaltijd,0.17,APPROVED,INEXACT,Patrick Thoral,1696613357336,4037090,Cooked food,Observation,MAPS_TO,,Patrick Thoral,1696613350599,
