sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:source_concept,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
ordercategory-31,Not iv Tractus Digestivus,101161,,Niet iv Tractus Digestivus,0.39,APPROVED,EQUAL,Patrick Thoral,1687692801500,4167540,Enteral route,Route,MAPS_TO,,Patrick Thoral,1687692800953,
ordercategory-32,Not iv Other,53719,,Niet iv Overig,0.22,APPROVED,EQUAL,Patrick Thoral,1687692807683,4167540,Enteral route,Route,MAPS_TO,,Patrick Thoral,1687692806684,
ordercategory-24,Injections Circulation/Diuretics,28121,,Injecties Circulatie/Diuretica,0.20,APPROVED,EQUAL,Patrick Thoral,1687692726726,4171047,Intravenous route,Route,MAPS_TO,,Patrick Thoral,1687692726257,
ordercategory-42,Nutrition Drink,118032,,Voeding Drinken,0.09,APPROVED,EQUAL,Patrick Thoral,1687692843721,4167540,Enteral route,Route,MAPS_TO,,Patrick Thoral,1687692842031,
ordercategory-56,Nutrition Solid food,51577,,Voeding Vast voedsel,0.08,APPROVED,EQUAL,Patrick Thoral,1687692887984,4167540,Enteral route,Route,MAPS_TO,,Patrick Thoral,1687692887404,
ordercategory-69,Non iv Ointments/Creams/Drops,280438,,Niet iv Zalven/Crèmes/Druppels,0.10,APPROVED,EQUAL,Patrick Thoral,1687692759956,4263689,Topical route,Route,MAPS_TO,,Patrick Thoral,1687692759353,
ordercategory-39,Nutrition Parenteral,9423,,Voeding Parenteraal,0.23,APPROVED,EQUAL,Patrick Thoral,1687692877245,4170113,Intravenous central route,Route,MAPS_TO,,Patrick Thoral,1687692876178,
ordercategory-55,Drip - Crystalloid,410500,,Infuus - Crystalloid,0.12,APPROVED,EQUAL,Patrick Thoral,1687692740062,4171047,Intravenous route,Route,MAPS_TO,,Patrick Thoral,1687692738014,
ordercategory-29,Not iv CNS/Sedation/Analgesics,293653,,Niet iv CZS/Sedatie/Analgetica,0.16,APPROVED,EQUAL,Patrick Thoral,1687692817424,4167540,Enteral route,Route,MAPS_TO,,Patrick Thoral,1687692816689,
ordercategory-15,Injections Antimicrobial Agents,270611,,Injecties Antimicrobiele middelen,0.17,APPROVED,EQUAL,Patrick Thoral,1687692729616,4171047,Intravenous route,Route,MAPS_TO,,Patrick Thoral,1687692728976,
ordercategory-67,Injections Hormones/Vitamins/Minerals,179847,,Injecties Hormonen/Vitaminen/Mineralen,0.07,APPROVED,EQUAL,Patrick Thoral,1687692718000,4171047,Intravenous route,Route,MAPS_TO,,Patrick Thoral,1687692717456,
ordercategory-25,Injections Haematological,85719,,Injecties Haematologisch,0.27,APPROVED,EQUAL,Patrick Thoral,1687692720867,4171047,Intravenous route,Route,MAPS_TO,,Patrick Thoral,1687692720260,
ordercategory-71,Non iv Hormones/Vitamins/Minerals,87664,,Niet iv Hormonen/Vitaminen/Mineralen,0.12,APPROVED,EQUAL,Patrick Thoral,1687692825342,4167540,Enteral route,Route,MAPS_TO,,Patrick Thoral,1687692824562,
ordercategory-118,Research,2204,,Research,0.38,APPROVED,EQUAL,Patrick Thoral,1687692903296,4171047,Intravenous route,Route,MAPS_TO,,Patrick Thoral,1687692901781,
ordercategory-23,Injections CNS/Sedation/Analgesics,143883,,Injecties CZS/Sedatie/Analgetica,0.09,APPROVED,EQUAL,Patrick Thoral,1687692723675,4171047,Intravenous route,Route,MAPS_TO,,Patrick Thoral,1687692723090,
ordercategory-21,Non iv Antimicrobials,508790,,Niet iv Antimicrobiele middelen,0.17,APPROVED,EQUAL,Patrick Thoral,1687692835184,4167540,Enteral route,Route,MAPS_TO,,Patrick Thoral,1687692834609,
ordercategory-30,Non iv Circulation/Diuresis,149031,,Niet iv Circulatie/Diurese,0.20,APPROVED,EQUAL,Patrick Thoral,1687692829318,4167540,Enteral route,Route,MAPS_TO,,Patrick Thoral,1687692828737,
ordercategory-63,Nutrition Enteral old,17472,,Voeding Enteraal oud,0.21,APPROVED,EQUAL,Patrick Thoral,1687692850807,4167540,Enteral route,Route,MAPS_TO,,<auto>,1687692492090,
ordercategory-27,Injections Other,7116,,Injecties Overig,0.11,APPROVED,EQUAL,Patrick Thoral,1687692715163,4171047,Intravenous route,Route,MAPS_TO,,Patrick Thoral,1687692714573,
ordercategory-61,Infusion - Blood products,30974,,Infuus - Bloedproducten,0.21,APPROVED,EQUAL,Patrick Thoral,1687692735568,4171047,Intravenous route,Route,MAPS_TO,,Patrick Thoral,1687692735032,
ordercategory-70,Not iv Tractus Respiratorius,184528,,Niet iv Tractus Respiratorius,0.40,APPROVED,EQUAL,Patrick Thoral,1687692586143,40486069,Respiratory tract route,Route,MAPS_TO,,<auto>,1687692492380,
ordercategory-17,Infusion - Colloid,53726,,Infuus - Colloid,0.24,APPROVED,EQUAL,Patrick Thoral,1687692732984,4171047,Intravenous route,Route,MAPS_TO,,Patrick Thoral,1687692732450,
ordercategory-119,Not IV Large Volume,48133,,Niet IV Groot Volume,0.16,APPROVED,EQUAL,Patrick Thoral,1687692812763,4167540,Enteral route,Route,MAPS_TO,,Patrick Thoral,1687692811999,
ordercategory-26,Injections Tractus Digestivus,59146,,Injecties Tractus Digestivus,0.42,APPROVED,EQUAL,Patrick Thoral,1687692705477,4171047,Intravenous route,Route,MAPS_TO,,Patrick Thoral,1687692703987,
ordercategory-114,Nutrition Enteral,149333,,Voeding Enteraal ,0.24,APPROVED,EQUAL,Patrick Thoral,1687692847422,4167540,Enteral route,Route,MAPS_TO,,<auto>,1687692492673,
ordercategory-65,2. Syringe pumps,1582468,,2. Spuitpompen,0.06,APPROVED,EQUAL,Patrick Thoral,1687692744806,4171047,Intravenous route,Route,MAPS_TO,,Patrick Thoral,1687692744220,
