sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:count_validated,ADD_INFO:vocabulary_id,ADD_INFO:vocabulary_concept_code,ADD_INFO:vocabulary_concept_name,ADD_INFO:source_concept,ADD_INFO:abbreviation,ADD_INFO:category,ADD_INFO:islabresult,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
17482,Leucocyte cylinder (urine),24,,24,,,,Leucocyten cilinder (urine),Leucocyten cilinder (urine),LAB-Hem-urine,1,0.34,UNCHECKED,UNREVIEWED,,0,21490860,Air cylinder Pressure,Measurement,MAPS_TO,,<auto>,1687596074700,
18949,EVI-1 ov.exp (blood),6,,6,,,,EVI-1 ov.exp (bloed),EVI-1 ov.exp (bloed),LAB-Imm-bloed,1,0.29,UNCHECKED,UNREVIEWED,,0,21490515,Expiration [Time] Respiratory system,Measurement,MAPS_TO,,<auto>,1687596074712,
17326,Hanta virus IgG (blood),4,,4,,,,Hanta virus IgG (bloed),Hanta virus IgG (bloed),LAB-Viro-Micro-bloed,1,0.48,UNCHECKED,UNREVIEWED,,0,3012957,Hantavirus IgG Ab [Presence] in Serum,Measurement,MAPS_TO,,<auto>,1687596074729,
17104,Bordetella pertussis IgG (blood),1,,1,,,,Bordetella pertussis IgG (bloed),Bordetella pertussis IgG (bloed),LAB-Viro-Micro-bloed,1,0.62,UNCHECKED,UNREVIEWED,,0,3008640,Bordetella pertussis IgG Ab [Titer] in Serum,Measurement,MAPS_TO,,<auto>,1687596074869,
15782,Adenovirus DNA PCR (Liquor),4,,4,,,,Adenovirus DNA PCR (liquor),Adenovirus DNA PCR (liquor),LAB-Viro-Micro-liquor,1,0.32,UNCHECKED,UNREVIEWED,,0,3034465,Adenovirus sp identified in Specimen by Organism specific culture,Measurement,MAPS_TO,,<auto>,1687596075195,
12158,Conclusion: (blood),10,,10,,,,Conclusie:  (bloed),Conclusie:  (bloed),LAB-Hem-bloed,1,0.27,UNCHECKED,UNREVIEWED,,0,46234747,Physical therapy conclusion of care panel,Measurement,MAPS_TO,,<auto>,1687596075209,
17327,Hanta virus IgM (blood),4,,4,,,,Hanta virus IgM (bloed),Hanta virus IgM (bloed),LAB-Viro-Micro-bloed,1,0.48,UNCHECKED,UNREVIEWED,,0,3019878,Hantavirus IgM Ab [Presence] in Serum,Measurement,MAPS_TO,,<auto>,1687596075337,
17109,Borrelia burgdorferi DNA PCR (blood),2,,2,,,,Borrelia burgdorferi DNA PCR (bloed),Borrelia burgdorferi DNA PCR (bloed),LAB-Viro-Micro-bloed,1,0.61,UNCHECKED,UNREVIEWED,,0,3005261,Borrelia burgdorferi DNA [Presence] in Blood by Probe with amplification,Measurement,MAPS_TO,,<auto>,1687596075665,
18950,FIP1L1-PDGFRα (blood),2,,2,,,,FIP1L1-PDGFRa (bloed),FIP1L1-PDGFRa (bloed),LAB-Hem-bloed,1,0.32,UNCHECKED,UNREVIEWED,,0,40758222,PDGFRA gene rearrangements [Presence] in Blood or Tissue by Molecular genetics method,Measurement,MAPS_TO,,<auto>,1687596075712,
17330,HBcore Ig total (blood),535,,535,,,,HBcore Ig totaal (bloed),HBcore Ig totaal (bloed),LAB-Viro-Micro-bloed,1,0.29,APPROVED,EQUAL,Patrick Thoral,1696453082649,3021879,Hepatitis B virus core Ab [Presence] in Serum,Measurement,MAPS_TO,,Patrick Thoral,1696453080924,
