sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:count_validated,ADD_INFO:vocabulary_id,ADD_INFO:vocabulary_concept_code,ADD_INFO:vocabulary_concept_name,ADD_INFO:source_concept,ADD_INFO:values,ADD_INFO:abbreviation,ADD_INFO:category,ADD_INFO:islabresult,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
13410,Fixation description,4119,,4119,,,,Fixatie beschrijving,Zweedse band; Polsband links; Polsband rechts; Enkelband links; Enkelband rechts; Anders,Fixatie beschrijving,Delier-Fixatie,0,0.65,APPROVED,EQUIVALENT,Patrick Thoral,1711403989671,40758173,Physical restraints,Observation,MAPS_TO,,Patrick Thoral,1711403987455,
16604,Rotary Interpretation,8,,8,,,,Rotem Interpretatie,"Factor deficiëntie in intem (XII, XI, IX, VIII, X, V, II, I); Fibrinogeen deficiëntie; Overig",Rotem Interpretatie,Rotem,0,0.76,APPROVED,EQUIVALENT,Patrick Thoral,1711400872558,4206625,Thromboelastography,Measurement,MAPS_TO,,Patrick Thoral,1711400260784,
20004,Donation Natural Death,765,,765,,,,Donatie Natuurlijke dood,Ja; Nee; Vrijgeven; Niet vrijgeven,Donatie Natuurlijke dood,Overleden-Donatie,0,0.81,APPROVED,UNMATCHED,Patrick Thoral,1711460463627,0,Unmapped,,MAPS_TO,,,0,
13943,Liquor aspect(2),5095,,5095,,,,Liquor aspect(2),Bloederig; Helder; Rose; Troebel,Liquor aspect(2),NEURO-Algemeen,0,0.44,APPROVED,EQUIVALENT,Patrick Thoral,1711329591706,4065661,Cerebrospinal fluid appearance,Measurement,MAPS_TO,,Patrick Thoral,1711329585687,
16656,DMC_Internal Medicine_Metabolic,52,,52,,,,DMC_Interne Geneeskunde_Metabool,Intoxicatie; Tentame suicide/Overdosis; Diabetische keto-acidose; Diagnose anders,DMC_Interne Geneeskunde_Metabool,Diagnose,0,0.34,APPROVED,UNREVIEWED,Patrick Thoral,1710325910397,0,Unmapped,,MAPS_TO,,,0,
18612,SEC_Apache II Operative Cardiovascular,1446,,1446,,,,SEC_Apache II Operatief Cardiovasculair,Cardiovasculair; Cardiovasculair multiple trauma; Hartkleppen; Perifeer vasculair; Haemorragische shock; Chron. cardiovasculaire ziekte; Sepsis; Na cardiac arrest,SEC_Apache II Operatief Cardiovasculair,APACHE II Diagnosen,0,0.48,APPROVED,UNREVIEWED,Patrick Thoral,1710326511742,0,Unmapped,,MAPS_TO,,,0,
17022,SEC_APACHEIV Non-operative haematological,78,,78,,,,SEC_APACHEIV  Non-operative haematological,"Anemia; Coagulopathy; Hematologic medical, other; Leukemia, acute lymphocytic; Leukemia, acute myelocytic; Leukemia, chronic lymphocytic; Leukemia, other; Lymphoma, Hodgkins; Lymphoma, non-Hodgkins; Neutropenia; Pancytopenia",SEC_APACHEIV  Non-operative haematological,APACHE IV Diagnosen,0,0.44,APPROVED,UNREVIEWED,Patrick Thoral,1710326494938,0,Unmapped,,MAPS_TO,,,0,
13944,EVD-Open/Close(2),2057,,2057,,,,EVD-Open/Dicht(2),Open; Dicht,EVD-Open/Dicht(2),NEURO-Algemeen,0,0.30,APPROVED,INEXACT,Patrick Thoral,1710324094105,4044517,Drainage - action,Observation,MAPS_TO,,Patrick Thoral,1710324092508,
16606,Rotem Action Taken,6,,6,,,,Rotem Ondernomen actie,FFP’s; Thrombocytenconcentraat; Fibrinogeen; Overig,Rotem Ondernomen actie,Rotem,0,0.70,APPROVED,EQUIVALENT,Patrick Thoral,1711400873275,21491193,Blood product given [Type],Observation,MAPS_TO,,Patrick Thoral,1711400813500,
16606,Rotem Action Taken,6,,6,,,,Rotem Ondernomen actie,FFP’s; Thrombocytenconcentraat; Fibrinogeen; Overig,Rotem Ondernomen actie,Rotem,0,0.70,APPROVED,EQUIVALENT,Patrick Thoral,1711400873275,4206625,Thromboelastography,Measurement,MAPS_TO_TYPE,,Patrick Thoral,1711400834525,
14138,Placement type,12074,,12074,,,,Soort plaatsing,Eerste plaatsing; Wissel/Verandering,Soort plaatsing,P_Globaal,0,0.70,APPROVED,UNMATCHED,Patrick Thoral,1711384083765,0,Unmapped,,MAPS_TO,,,0,
20006,Donation autopsy requested,922,,922,,,,Donatie obductie gevraagd,Ja; Toestemming; Geen toestemming; Nee,Donatie obductie gevraagd,Overleden-Donatie,0,0.63,APPROVED,UNMATCHED,Patrick Thoral,1711460463627,0,Unmapped,,MAPS_TO,,,0,
16657,DMC_Internal Medicine_Other,19,,19,,,,DMC_Interne Geneeskunde_Overige,Obstetrie/ HELLP; Diagnose anders,DMC_Interne Geneeskunde_Overige,Diagnose,0,0.35,APPROVED,UNREVIEWED,Patrick Thoral,1710325910397,0,Unmapped,,MAPS_TO,,,0,
16627,MCA_Chronic_diseases,366,,366,,,,MCA_Chronische_ziekten,Acute opname; Electieve opname; Spoedchirurgie,MCA_Chronische_ziekten,APACHE II MICV,0,0.28,APPROVED,INEXACT,Patrick Thoral,1711461357188,37154585,Reason for hospital admission,Observation,MAPS_TO,,Patrick Thoral,1711461355232,
