sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:count_validated,ADD_INFO:source_concept,ADD_INFO:itemid,ADD_INFO:item,ADD_INFO:abbreviation,ADD_INFO:category,ADD_INFO:islabresult,ADD_INFO:valueid,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
12129-23,Stepdaughter,3,,3,Stiefdochter,12129,PatiëntInfoRelatie,Relatie,Anamnese-Patientgegevens,0,23,0.88,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
19608-2,Frowning eyebrows,11171,,11171,Fronsende wenkbrauwen,19608,BPS - Gelaatsuitdrukking,BPS - Gelaatsuitdrukking,SCORE,0,2,0.66,APPROVED,UNMATCHED,Patrick Thoral,1710326970729,0,Unmapped,,MAPS_TO,,,0,
12129-24,Neighbour,1,,1,Buurman,12129,PatiëntInfoRelatie,Relatie,Anamnese-Patientgegevens,0,24,1.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
17009-15,"Esophageal surgery, other",54,,54,"Esophageal surgery, other",17009,APACHEIV Post-operative gastro-intestinal,APACHEIV Post-operative gastro-intestinal,APACHE IV Diagnosen,0,15,0.60,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
14562-2,Esophageal intubation,8,,8,Oesofageale intubatie,14562,Intubatie_Complicaties,Intubatie_Complicaties,Klinische verrichting Respiratie,0,2,1.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
12129-25,Neighbor,1,,1,Buurvrouw,12129,PatiëntInfoRelatie,Relatie,Anamnese-Patientgegevens,0,25,1.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
17004-16,"Neurologic medical, other",106,,106,"Neurologic medical, other",17004,APACHEIV Non-operative neurologic,APACHEIV Non-operative neurologic,APACHE IV Diagnosen,0,16,0.63,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
17038-50,"Extremity only trauma, surgery for",10,,10,"Extremity only trauma, surgery for",17038,SEC_APACHEIV Post-operative trauma,SEC_APACHEIV Post-operative trauma,APACHE IV Diagnosen,0,50,0.50,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
14562-3,Tube too deep,10,,10,Te diepe tube,14562,Intubatie_Complicaties,Intubatie_Complicaties,Klinische verrichting Respiratie,0,3,0.66,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
19608-3,Frowning eyebrows and squinting eyes,990,,990,Fronsende wenkbrauwen en knijpt ogen dicht,19608,BPS - Gelaatsuitdrukking,BPS - Gelaatsuitdrukking,SCORE,0,3,0.53,APPROVED,UNMATCHED,Patrick Thoral,1710326970729,0,Unmapped,,MAPS_TO,,,0,
12130-1,From another hospital,2512,,2512,Van ander ziekenhuis,12130,PatiëntWijzeVanOpname,Wijze van opname,Anamnese-Patientgegevens,0,1,0.65,APPROVED,EQUAL,Patrick Thoral,1711414509295,21499119,Transfer from a different hospital,Meas Value,MAPS_TO,,Patrick Thoral,1711414504814,
19608-4,Grimaces,343,,343,Grimassen,19608,BPS - Gelaatsuitdrukking,BPS - Gelaatsuitdrukking,SCORE,0,4,1.00,APPROVED,UNMATCHED,Patrick Thoral,1710326970729,0,Unmapped,,MAPS_TO,,,0,
14562-4,Aspiration,22,,22,Aspiratie,14562,Intubatie_Complicaties,Intubatie_Complicaties,Klinische verrichting Respiratie,0,4,1.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
17004-17,"Neuromuscular medical, other",13,,13,"Neuromuscular medical, other",17004,APACHEIV Non-operative neurologic,APACHEIV Non-operative neurologic,APACHE IV Diagnosen,0,17,0.69,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
19635-5,No reaction,1705,,1705,Geen reactie,19635,E_EMV_NICE_24uur,E_EMV_NICE_24uur,NICE-Overig,0,5,1.00,APPROVED,EQUAL,Patrick Thoral,1709161401334,45877537,No eye opening,Meas Value,MAPS_TO,,Patrick Thoral,1709161398989,
17038-51,"Extremity/face trauma, surgery for",2,,2,"Extremity/face trauma, surgery for",17038,SEC_APACHEIV Post-operative trauma,SEC_APACHEIV Post-operative trauma,APACHE IV Diagnosen,0,51,0.42,APPROVED,UNREVIEWED,Patrick Thoral,1710326438943,0,Unmapped,,MAPS_TO,,,0,
14562-6,Tracheal damage,1,,1,Tracheabeschadiging,14562,Intubatie_Complicaties,Intubatie_Complicaties,Klinische verrichting Respiratie,0,6,0.71,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
