sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:vocabulary_id,ADD_INFO:vocabulary_concept_code,ADD_INFO:vocabulary_concept_name,ADD_INFO:source_concept,ADD_INFO:abbreviation,ADD_INFO:category,ADD_INFO:unitid,ADD_INFO:unit,ADD_INFO:ucum_code,ADD_INFO:low_normal_value,ADD_INFO:high_normal_value,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
10167,SCC (blood),13,,,,,SCC (bloed),SCC (bloed),LAB-Imm-bloed,41,µg/l,ug/L,,,0.35,UNCHECKED,UNREVIEWED,,0,4353845,Segmental pressure (blood pressure),Measurement,MAPS_TO,,<auto>,1686354524894,
12001,FSH (blood),28,,,,,FSH (bloed),FSH (bloed),LAB-Endo-bloed,183,E/l,U/L,1,14,0.48,APPROVED,EQUAL,Patrick Thoral,1696985478098,3023323,Follitropin [Units/volume] in Serum or Plasma,Measurement,MAPS_TO,,Patrick Thoral,1696985477319,
10169,PSA (blood),97,,,,,PSA (bloed),PSA (bloed),LAB-Chem-bloed,41,µg/l,ug/L,,,0.40,APPROVED,EQUAL,Patrick Thoral,1696987327706,3013603,Prostate specific Ag [Mass/volume] in Serum or Plasma,Measurement,MAPS_TO,,Patrick Thoral,1696987327090,
12010,HCG (blood),47,,,,,HCG (bloed),HCG (bloed),LAB-Endo-bloed,183,E/l,U/L,,,0.48,UNCHECKED,UNREVIEWED,,0,4055426,Urine chorionic gonadotrophin measurement,Measurement,MAPS_TO,,<auto>,1686354525121,
9741,Gentamicin (blood),361,,,,,Gentamicine (bloed),Gentamicine (bloed),LAB-Tox-bloed,63,mg/l,mg/L,,,0.44,APPROVED,EQUAL,Patrick Thoral,1696983060406,3035510,Gentamicin [Mass/volume] in Serum or Plasma,Measurement,MAPS_TO,,Patrick Thoral,1696983059689,
11801,Factor IX activity (blood),194,,,,,Factor IX activiteit (bloed),Factor IX activiteit (bloed),LAB-Hem-bloed,191,Geen,,60,120,0.52,APPROVED,EQUAL,Patrick Thoral,1710246867698,3006109,Coagulation factor IX activity actual/normal in Platelet poor plasma by Coagulation assay,Measurement,MAPS_TO,,Patrick Thoral,1696981759851,
11801,Factor IX activity (blood),194,,,,,Factor IX activiteit (bloed),Factor IX activiteit (bloed),LAB-Hem-bloed,191,Geen,,60,120,0.52,APPROVED,EQUAL,Patrick Thoral,1710246867698,8554,percent,Unit,MAPS_TO_UNIT,,Patrick Thoral,1710246846385,
18446,Leuco's pleural fluid (pleural puncture),62,,,,,Leuco's pleuravocht (pleurapunct.),Leuco's pleuravocht (pleurapunct.),LAB-Hem-diversen,101,10^9/l,10*9/L,,,0.39,APPROVED,EQUAL,Patrick Thoral,1696985849486,3023199,Leukocytes [#/volume] in Pleural fluid,Measurement,MAPS_TO,,Patrick Thoral,1696985848810,
10173,Vit-B12 (blood),442,,,,,Vit-B12 (bloed),Vit-B12 (bloed),LAB-Chem-bloed,98,pmol/l,pmol/L,156,672,0.36,APPROVED,EQUAL,Patrick Thoral,1715032605049,3011152,Cobalamin (Vitamin B12) [Mass/volume] in Blood,Measurement,MAPS_TO,,Patrick Thoral,1715032603412,
17997,Bleeding time (blood),11,,,,,Bloedingstijd (bloed),Bloedingstijd (bloed),LAB-Hem-bloed,4,min,min,,,0.58,UNCHECKED,UNREVIEWED,,0,37398633,Bleeding time,Measurement,MAPS_TO,,<auto>,1686354525356,
12011,HCG + BHCG (blood),34,,,,,HCG + BHCG (bloed),HCG + BHCG (bloed),LAB-Endo-bloed,183,E/l,U/L,,,0.30,UNCHECKED,UNREVIEWED,,0,36303740,Alpha benzene hexachloride [Mass/mass] in Specimen,Measurement,MAPS_TO,,<auto>,1686354525442,
11804,Gamma-Fr (blood),59,,,,,Gamma-Fr  (bloed),Gamma-Fr  (bloed),LAB-Chem-bloed,191,Geen,,,,0.30,UNCHECKED,UNREVIEWED,,0,4353845,Segmental pressure (blood pressure),Measurement,MAPS_TO,,<auto>,1686354525578,
12013,HCG + BHCG (liqueur),4,,,,,HCG + BHCG (liquor),HCG + BHCG (liquor),LAB-Endo-liquor,183,E/l,U/L,,,0.29,UNCHECKED,UNREVIEWED,,0,4055426,Urine chorionic gonadotrophin measurement,Measurement,MAPS_TO,,<auto>,1686354525641,
