sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:count,ADD_INFO:vocabulary_id,ADD_INFO:vocabulary_concept_code,ADD_INFO:vocabulary_concept_name,ADD_INFO:source_concept,ADD_INFO:abbreviation,ADD_INFO:category,ADD_INFO:unitid,ADD_INFO:unit,ADD_INFO:ucum_code,ADD_INFO:low_normal_value,ADD_INFO:high_normal_value,ADD_INFO:expected_min_value,ADD_INFO:expected_max_value,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
16612,MCA_ABPm,6,,6,,,,MCA_ABPm,MCA_ABPm,APACHE II MICV,173,mmHg,mm[Hg],,,,,0.40,APPROVED,UNREVIEWED,Patrick Thoral,1691177127596,0,Unmapped,,MAPS_TO,,,0,
20655,ECMO - Tven,465,,465,,,,ECMO - Tven,ECMO - Tven,ECMO,59,°C,Cel,,,,,0.49,APPROVED,UNMATCHED,Patrick Thoral,1691182195624,0,Unmapped,,MAPS_TO,,,0,
19499,NICE Apache II Score,2393,,2393,,,,NICE Apache II Score,NICE Apache II Score,APACHE-II,191,Geen,,,,,,0.89,APPROVED,UNREVIEWED,Patrick Thoral,1691177127596,0,Unmapped,,MAPS_TO,,,0,
20656,ECMO - FiO2,478,,478,,,,ECMO - FiO2,ECMO - FiO2,ECMO,191,Geen,,,,,,0.63,APPROVED,EQUAL,Patrick Thoral,1691181359739,42869590,Oxygen/Gas total [Pure volume fraction] Inhaled gas,Measurement,MAPS_TO,,<auto>,1686356271452,
20656,ECMO - FiO2,478,,478,,,,ECMO - FiO2,ECMO - FiO2,ECMO,191,Geen,,,,,,0.63,APPROVED,EQUAL,Patrick Thoral,1691181359739,4125575,Extracorporeal,Observation,MAPS_TO_TYPE,,Patrick Thoral,1691181349542,
16613,MCA_Respiratory Rate,29,,29,,,,MCA_Ademfrequentie,MCA_Ademfrequentie,APACHE II MICV,15,/min,/min,,,,,0.47,APPROVED,UNREVIEWED,Patrick Thoral,1691177127596,0,Unmapped,,MAPS_TO,,,0,
12322,respiratory rate setting,69,,69,LOINC,19834-1,Breath rate setting Ventilator,Adem Frequentie (Set) (2),Adem. Freq (2),RESP-Servo Machinegegevens(2),15,/min,/min,,,,,0.78,APPROVED,EQUAL,Patrick Thoral,1689549265291,3007469,Breath rate setting Ventilator,Measurement,MAPS_TO,,Patrick Thoral,1689549264565,
20657,ECMO - Gas flow,476,,476,,,,ECMO - Gasflow,ECMO - Gasflow,ECMO,26,l/min,L/min,,,,,0.55,APPROVED,EQUAL,Patrick Thoral,1691181273545,4089495,Extracorporeal gas exchange flow rate,Observation,MAPS_TO,,Patrick Thoral,1691181268444,
16624,MCA_Apache_Score,1898,,1898,,,,MCA_Apache_Score,MCA_Apache_Score,APACHE II MICV,191,Geen,,,,,,0.23,APPROVED,UNREVIEWED,Patrick Thoral,1691177127596,0,Unmapped,,MAPS_TO,,,0,
19331,Physio Mobility Shoulder ab adduction right 1,1993,,1993,,,,Fysio Mobiliteit Schouder ab adductie rechts 1,Fysio Mobiliteit Schouder ab adductie rechts 1,Fysio-Mobiliteit en Spierkracht,204,°,deg,0,160,,,0.63,APPROVED,UNREVIEWED,Patrick Thoral,1690325062371,0,Unmapped,,MAPS_TO,,,0,
19282,Physio Mobility Ankle dorsal plantar left 3,1992,,1992,,,,Fysio Mobiliteit Enkel dorsaal plantair  links 3,Fysio Mobiliteit Enkel dorsaal plantair  links 3,Fysio-Mobiliteit en Spierkracht,204,°,deg,0,50,,,0.48,APPROVED,UNREVIEWED,Patrick Thoral,1690325062371,0,Unmapped,,MAPS_TO,,,0,
19500,NICE Apache IV Score,2163,,2163,,,,NICE Apache IV Score,NICE Apache IV Score,Apache IV,191,Geen,,,,,,0.62,APPROVED,UNREVIEWED,Patrick Thoral,1691177127596,0,Unmapped,,MAPS_TO,,,0,
16625,MCA_Arterial_PH,313,,313,,,,MCA_Arteriële_PH,MCA_Arteriële_PH,APACHE II MICV,191,Geen,,,,,,0.24,APPROVED,UNREVIEWED,Patrick Thoral,1691177127596,0,Unmapped,,MAPS_TO,,,0,
20658,ECMO - Venous saturation,478,,478,,,,ECMO - Veneuze saturatie,ECMO - Veneuze saturatie,ECMO,191,Geen,,,,,,0.51,APPROVED,EQUAL,Patrick Thoral,1710109244234,3024928,Oxygen saturation in Venous blood,Measurement,MAPS_TO,,Patrick Thoral,1691182237248,
20658,ECMO - Venous saturation,478,,478,,,,ECMO - Veneuze saturatie,ECMO - Veneuze saturatie,ECMO,191,Geen,,,,,,0.51,APPROVED,EQUAL,Patrick Thoral,1710109244234,8554,percent,Unit,MAPS_TO_UNIT,,Patrick Thoral,1710109240213,
19503,NICE SAPS II Score,2047,,2047,,,,NICE SAPS II Score,NICE SAPS II Score,SAPS II score,0,None,,,,,,0.59,APPROVED,INEXACT,Patrick Thoral,1691182816300,4084275,Simplified Acute Physiology Score,Observation,MAPS_TO,,Patrick Thoral,1691182813570,
16629,MCA_FiO2,1951,,1951,,,,MCA_FiO2,MCA_FiO2,APACHE II MICV,191,Geen,,0,4,,,0.51,APPROVED,UNREVIEWED,Patrick Thoral,1691177127596,0,Unmapped,,MAPS_TO,,,0,
20659,ECMO - Hb (g/dl),469,,469,,,,ECMO - Hb (g/dl),ECMO - Hb (g/dl),ECMO,61,g/dl,"g/dL,",,,,,0.35,APPROVED,INEXACT,Patrick Thoral,1691181625399,46235392,Hemoglobin [Mass/volume] in Venous blood by Oximetry,Measurement,MAPS_TO,,Patrick Thoral,1691181508557,
12329,inspired oxygen concentration setting,73,,73,LOINC,19994-3,Oxygen/Inspired gas setting [Volume Fraction] Ventilator,O2 concentratie (Set) (2),O2% (Set) (2),RESP-Servo Machinegegevens(2),191,Geen,,,,,,0.87,APPROVED,EQUAL,Patrick Thoral,1710112757658,3024882,Oxygen/Total gas setting [Volume Fraction] Ventilator,Measurement,MAPS_TO,,Patrick Thoral,1689546905293,
12329,inspired oxygen concentration setting,73,,73,LOINC,19994-3,Oxygen/Inspired gas setting [Volume Fraction] Ventilator,O2 concentratie (Set) (2),O2% (Set) (2),RESP-Servo Machinegegevens(2),191,Geen,,,,,,0.87,APPROVED,EQUAL,Patrick Thoral,1710112757658,8554,percent,Unit,MAPS_TO_UNIT,,Patrick Thoral,1710112756378,
19609,BPS rating,76906,,76906,,,,BPS score,BPS score,SCORE,191,Geen,,,,,,0.47,APPROVED,INEXACT,Patrick Thoral,1710287512968,4022240,Pain score,Observation,MAPS_TO,Behavioral Pain Scale,Patrick Thoral,1710287504896,
20661,ECMO - Ht,457,,457,,,,ECMO - Ht,ECMO - Ht,ECMO,191,Geen,,,,,,0.58,APPROVED,EQUAL,Patrick Thoral,1710109649630,3034976,Hematocrit [Volume Fraction] of Venous blood,Measurement,MAPS_TO,,Patrick Thoral,1691181629334,
20661,ECMO - Ht,457,,457,,,,ECMO - Ht,ECMO - Ht,ECMO,191,Geen,,,,,,0.58,APPROVED,EQUAL,Patrick Thoral,1710109649630,8554,percent,Unit,MAPS_TO_UNIT,,Patrick Thoral,1710109647008,
16631,MCA_Hematocrit(%),41,,41,,,,MCA_Hematocriet(%),MCA_Hematocriet(%),APACHE II MICV,191,Geen,,,,,,0.30,APPROVED,UNREVIEWED,Patrick Thoral,1691177127596,0,Unmapped,,MAPS_TO,,,0,
19332,Physio Mobility Shoulder ab adduction right 2,1993,,1993,,,,Fysio Mobiliteit Schouder ab adductie rechts 2,Fysio Mobiliteit Schouder ab adductie rechts 2,Fysio-Mobiliteit en Spierkracht,204,°,deg,0,160,,,0.62,APPROVED,UNREVIEWED,Patrick Thoral,1690325062371,0,Unmapped,,MAPS_TO,,,0,
