sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
tag-NUL,NUL,921267400,,8.83,APPROVED,UNMATCHED,Patrick Thoral,1687643972440,0,Unmapped,,MAPS_TO,,,0,
tag-S,S,7,,10.26,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
tag-D,D,3267,,10.26,APPROVED,UNMATCHED,Patrick Thoral,1687645546365,0,Unmapped,,MAPS_TO,"# only used for itemid = 10267, item = ""Ca-ion (7.4) (bloed)"", comment = ""op pH 7.4; act. pH gebr""",,0,
tag- , ,56032721,,10.26,APPROVED,UNMATCHED,Patrick Thoral,1687643968874,0,Unmapped,,MAPS_TO,,,0,
tag-K,K,6,,10.26,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
tag->,>,109046,,10.26,APPROVED,EQUAL,Patrick Thoral,1687643858808,4172704,>,Meas Value Operator,MAPS_TO_OPERATOR,,Patrick Thoral,1687643845932,
tag-T,T,691,,10.26,APPROVED,EQUAL,Patrick Thoral,1687647600220,3004381,Toxic granules [Presence] in Blood by Light microscopy,Measurement,MAPS_TO,CASE tag WHEN 'T' THEN comment END AS value_as_string,Patrick Thoral,1687647596343,
tag-5,5,42,,10.26,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
tag-&,&,587,,10.26,APPROVED,UNMATCHED,Patrick Thoral,1687648604882,0,Unmapped,,MAPS_TO,CASE tag WHEN '&' THEN comment END AS value_as_string,,0,
tag-<,<,18834,,10.26,APPROVED,EQUAL,Patrick Thoral,1687643910630,4171756,<,Meas Value Operator,MAPS_TO_OPERATOR,,Patrick Thoral,1687643901747,
tag-R,R,4,,10.26,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
tag-Q,Q,2,,10.26,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
tag--,-,192833,,10.26,APPROVED,UNREVIEWED,Patrick Thoral,1687643925758,0,Unmapped,,MAPS_TO,CASE tag WHEN '-' THEN -value ELSE value END AS value_as_number,,0,
tag-0,0,172,,10.26,APPROVED,UNMATCHED,Patrick Thoral,1687650163619,0,Unmapped,,MAPS_TO,,,0,
