sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:source_concept,ADD_INFO:ucum_code,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
214,fraction,4328,720868,x TOT,{fraction},1.00,APPROVED,EQUAL,Patrick Thoral,1686613291104,720868,fraction,Unit,MAPS_TO,,<auto>,1686613235166,
210,parts per thousand,1243,9154,o/oo,[ppth],1.00,APPROVED,EQUAL,Patrick Thoral,1686613291763,9154,parts per thousand,Unit,MAPS_TO,,<auto>,1686613235174,
92,liter per minute per square meter,186861,32710,l/min/m2,L/min/m2,1.00,APPROVED,EQUAL,Patrick Thoral,1686613298732,32710,liter per minute per square meter,Unit,MAPS_TO,,<auto>,1686613235184,
96,mole per liter,4,9586,mol/l,mol/L,1.00,APPROVED,EQUAL,Patrick Thoral,1686613299388,9586,mole per liter,Unit,MAPS_TO,,<auto>,1686613235194,
215,copies per milliliter,55,8799,kopie/ml,{copies}/mL,1.00,APPROVED,EQUAL,Patrick Thoral,1686613300898,8799,copies per milliliter,Unit,MAPS_TO,,<auto>,1686613235200,
97,millimole per liter,6971289,8753,mmol/l,mmol/L,1.00,APPROVED,EQUAL,Patrick Thoral,1686613301500,8753,millimole per liter,Unit,MAPS_TO,,<auto>,1686613235216,
98,picomole per liter,13841,8729,pmol/l,pmol/L,1.00,APPROVED,EQUAL,Patrick Thoral,1686613302190,8729,picomole per liter,Unit,MAPS_TO,,<auto>,1686613235238,
99,micromole per liter,264312,8749,µmol/l,umol/L,1.00,APPROVED,EQUAL,Patrick Thoral,1686613305461,8749,micromole per liter,Unit,MAPS_TO,,<auto>,1686613235249,
101,billion per liter,499328,9444,10^9/l,10*9/L,1.00,APPROVED,EQUAL,Patrick Thoral,1686613307897,9444,billion per liter,Unit,MAPS_TO,,<auto>,1686613235258,
150,millivolt,13069,720843,mV,mV,1.00,APPROVED,EQUAL,Patrick Thoral,1686613309678,720843,millivolt,Unit,MAPS_TO,,<auto>,1686613235268,
66,nanogram per milliliter,625,8842,ng/ml,ng/mL,1.00,APPROVED,EQUAL,Patrick Thoral,1686613310539,8842,nanogram per milliliter,Unit,MAPS_TO,,<auto>,1686613235294,
322,,255,,+PEEP,cm[H2O]{above_PEEP},0.00,APPROVED,INEXACT,Patrick Thoral,1686614843724,44777590,centimeter watercolumn,Unit,MAPS_TO,,Patrick Thoral,1686614842512,
202,,11992,,mE/l,mU/L,0.00,APPROVED,EQUAL,Patrick Thoral,1686614328568,44777578,milliunit per liter,Unit,MAPS_TO,,Patrick Thoral,1686614327563,
225,,13288,,/jaar,/a,0.00,APPROVED,EQUAL,Patrick Thoral,1686614273172,44777560,per year,Unit,MAPS_TO,,Patrick Thoral,1686614270917,
88,milliliter per deciliter,341318,9570,ml/dl,mL/dL,1.00,APPROVED,EQUAL,Patrick Thoral,1686613325968,9570,milliliter per deciliter,Unit,MAPS_TO,,<auto>,1686613235312,
203,nanogram per liter,9914,8725,ng/l,ng/L,1.00,APPROVED,EQUAL,Patrick Thoral,1686613333344,8725,nanogram per liter,Unit,MAPS_TO,,<auto>,1686613235313,
204,degree,505633,9484,°,deg,1.00,APPROVED,EQUAL,Patrick Thoral,1686613333866,9484,degree,Unit,MAPS_TO,,<auto>,1686613235322,
211,,177,,E/ml,U/mL,0.00,APPROVED,EQUAL,Patrick Thoral,1686613791139,8763,unit per milliliter,Unit,MAPS_TO,,Patrick Thoral,1686613789480,
212,microliter,14,9665,µl,uL,1.00,APPROVED,EQUAL,Patrick Thoral,1686613334520,9665,microliter,Unit,MAPS_TO,,<auto>,1686613235339,
218,,1,,10^4/kg,10*4/kg,0.00,APPROVED,UNMATCHED,Patrick Thoral,1710147672551,0,Unmapped,,MAPS_TO,,,0,
219,million per kilogram,32,720842,10^6/kg,10*6/kg,1.00,APPROVED,EQUAL,Patrick Thoral,1686613335449,720842,million per kilogram,Unit,MAPS_TO,,<auto>,1686613235369,
231,cells per high power field,903,8889,/veld,{cells}/[HPF],1.00,APPROVED,EQUAL,Patrick Thoral,1686613338664,8889,cells per high power field,Unit,MAPS_TO,,<auto>,1686613235373,
232,Bethesda unit,8,9161,BE,[beth'U],1.00,APPROVED,EQUAL,Patrick Thoral,1686613341178,9161,Bethesda unit,Unit,MAPS_TO,,<auto>,1686613235394,
323,,42,,µmol/10^11 PLT,umol/10*11{Platelets},0.00,APPROVED,UNMATCHED,Patrick Thoral,1710147771659,0,Unmapped,,MAPS_TO,,,0,
89,,2039,,ml/m2,mL/m2,0.00,APPROVED,EQUAL,Patrick Thoral,1686614490640,32739,milliliter per square meter,Unit,MAPS_TO,,Patrick Thoral,1686614488693,
205,,193690,,INR,{INR},0.00,APPROVED,EQUIVALENT,Patrick Thoral,1710146458776,8523,ratio,Unit,MAPS_TO,,Patrick Thoral,1710146455513,
62,gram per liter,123213,8636,g/l,g/L,1.00,APPROVED,EQUAL,Patrick Thoral,1686613341936,8636,gram per liter,Unit,MAPS_TO,,<auto>,1686613235474,
206,millimole per mole,201,9579,mmol/mol,mmol/mol,1.00,APPROVED,EQUAL,Patrick Thoral,1686613343034,9579,millimole per mole,Unit,MAPS_TO,,<auto>,1686613235475,
63,milligram per liter,93287,8751,mg/l,mg/L,1.00,APPROVED,EQUAL,Patrick Thoral,1686613343836,8751,milligram per liter,Unit,MAPS_TO,,<auto>,1686613235479,
198,,30,,kE/l,kU/L,0.00,APPROVED,EQUIVALENT,Patrick Thoral,1710147604607,8810,kilounit per liter,Unit,MAPS_TO,,Patrick Thoral,1710147602247,
200,million,2,8549,10^6,10*6,1.00,APPROVED,EQUAL,Patrick Thoral,1686613361145,8549,million,Unit,MAPS_TO,,<auto>,1686613235482,
64,milligram per deciliter,2,8840,mg/dl,mg/dL,1.00,APPROVED,EQUAL,Patrick Thoral,1686613363041,8840,milligram per deciliter,Unit,MAPS_TO,,<auto>,1686613235483,
325,milligram per 24 hours,30,8909,mg/24uur,mg/(24.h),1.00,APPROVED,EQUAL,Patrick Thoral,1686613366904,8909,milligram per 24 hours,Unit,MAPS_TO,,<auto>,1686613235485,
207,nanogram per milliliter and hour,1,9020,ng/ml/uur,ng/mL/h,1.00,APPROVED,EQUAL,Patrick Thoral,1686613367590,9020,nanogram per milliliter and hour,Unit,MAPS_TO,,<auto>,1686613235489,
201,hundred million,18,9443,10^8,10*8,1.00,APPROVED,EQUAL,Patrick Thoral,1686613368309,9443,hundred million,Unit,MAPS_TO,,<auto>,1686613235491,
173,millimeter mercury column,148100661,8876,mmHg,mm[Hg],1.00,APPROVED,EQUAL,Patrick Thoral,1686613369040,8876,millimeter mercury column,Unit,MAPS_TO,,<auto>,1686613235497,
192,milliosmole per kilogram,7812,8862,mosmol/kg,mosm/kg,1.00,APPROVED,EQUAL,Patrick Thoral,1686613370369,8862,milliosmole per kilogram,Unit,MAPS_TO,,<auto>,1686613235498,
209,nanomole per 24 hours,21,44777627,nmol/24uur,nmol/(24.h),1.00,APPROVED,EQUAL,Patrick Thoral,1686613371331,44777627,nanomole per 24 hours,Unit,MAPS_TO,,<auto>,1686613235509,
302,,311,,cmH2O/l,cm[H2O]/mL,0.00,APPROVED,UNMATCHED,Patrick Thoral,1710147214741,0,Unmapped,,MAPS_TO,,,0,
298,millimeter mercury column,248347,8876,mmHG/lsb.,mm[Hg],1.00,APPROVED,EQUAL,Patrick Thoral,1686613372029,8876,millimeter mercury column,Unit,MAPS_TO,"Most likely 'lsb' = 'Least Significant Bit', used to report the resolution of the measurement (i.e. 1 bit = x mmHg)",<auto>,1686613235514,
175,centimeter watercolumn,103556786,44777590,cmH2O,cm[H2O],1.00,APPROVED,EQUAL,Patrick Thoral,1686613376661,44777590,centimeter watercolumn,Unit,MAPS_TO,,<auto>,1686613235523,
304,kilocalorie per kilogram,6,710251,kcal/kg,kcal/kg,1.00,APPROVED,EQUAL,Patrick Thoral,1686613377735,710251,kilocalorie per kilogram,Unit,MAPS_TO,,<auto>,1686613235527,
233,,7871,,mmol/cel,mmol/L{RBCs},0.00,APPROVED,UNMATCHED,Patrick Thoral,1710147311314,0,Unmapped,,MAPS_TO,,,0,
177,millibar,15978934,720858,mbar,mbar,1.00,APPROVED,EQUAL,Patrick Thoral,1686613378425,720858,millibar,Unit,MAPS_TO,,<auto>,1686613235536,
326,,9,,nmol/10^9 PLT,nmol/10*9{Platelets},0.00,APPROVED,INEXACT,Patrick Thoral,1686615321883,44777628,nanomole per billion platelets,Unit,MAPS_TO,error: '.',Patrick Thoral,1686615238802,
196,,6138,,/3 µl,{cells}/(3.ul),0.00,APPROVED,UNMATCHED,Patrick Thoral,1710146375925,0,Unmapped,,MAPS_TO,,,0,
197,per microliter,4801,8647,/µl,/uL,1.00,APPROVED,EQUAL,Patrick Thoral,1686613379210,8647,per microliter,Unit,MAPS_TO,,<auto>,1686613235607,
294,Hertz,3,9521,Hz,Hz,1.00,APPROVED,EQUAL,Patrick Thoral,1686613379885,9521,Hertz,Unit,MAPS_TO,,<auto>,1686613235617,
296,percent positive,8,9231,%Blast +,%{positive},1.00,APPROVED,EQUAL,Patrick Thoral,1686613380663,9231,percent positive,Unit,MAPS_TO,,<auto>,1686613235624,
297,kilocalorie per 24 hours,1548,710212,kcal/24-uur,kcal/(24.h),1.00,APPROVED,EQUAL,Patrick Thoral,1686613381457,710212,kilocalorie per 24 hours,Unit,MAPS_TO,,<auto>,1686613235634,
300,,4212,,cmH20/l/s,cm[H2O]/L/s,0.00,APPROVED,UNMATCHED,Patrick Thoral,1710147143907,0,Unmapped,,MAPS_TO,,,0,
220,,32,,10^7/kg,10*7/kg,0.00,APPROVED,UNMATCHED,Patrick Thoral,1710147673555,0,Unmapped,,MAPS_TO,,,0,
307,,3983,,[0.0001] m2,1/1000.m2,0.00,APPROVED,UNMATCHED,Patrick Thoral,1710147375561,0,Unmapped,,MAPS_TO,,,0,
221,gram per 24 hours,416,8807,g/24uur,g/(24.h),1.00,APPROVED,EQUAL,Patrick Thoral,1686613382262,8807,gram per 24 hours,Unit,MAPS_TO,,<auto>,1686613235707,
183,,491765,,E/l,U/L,0.00,APPROVED,EQUAL,Patrick Thoral,1686613904617,8645,unit per liter,Unit,MAPS_TO,,Patrick Thoral,1686613893142,
313,,4747,,/100 leuc,/100{WBCs},0.00,APPROVED,INEXACT,Patrick Thoral,1686615560633,9032,per 100 white blood cells,Unit,MAPS_TO,error: '.',Patrick Thoral,1686615556391,
308,,27292,,cmH2O/µV,cm[H2O]/uV,0.00,APPROVED,UNMATCHED,Patrick Thoral,1710147724256,0,Unmapped,,MAPS_TO,,,0,
301,,15095994,,J/l,J/L,0.00,APPROVED,UNMATCHED,Patrick Thoral,1710146742763,0,Unmapped,,MAPS_TO,,,0,
335,,2,,mg.uur/l,mg.h/L,0.00,APPROVED,UNMATCHED,Patrick Thoral,1710147857593,0,Unmapped,,MAPS_TO,,,0,
336,microgram per millimole,1,32408,µg/mmol,ug/mmol,1.00,APPROVED,EQUAL,Patrick Thoral,1686613383129,32408,microgram per millimole,Unit,MAPS_TO,,<auto>,1686613235821,
339,ohm,1467,9618,Ohm,Ohm,1.00,APPROVED,EQUAL,Patrick Thoral,1686613386321,9618,ohm,Unit,MAPS_TO,,<auto>,1686613235824,
224,,17946,,/dag,/d,0.00,APPROVED,EQUIVALENT,Patrick Thoral,1710147046339,44777556,per 24 hours,Unit,MAPS_TO,,Patrick Thoral,1710147043032,
41,microgram per liter,87260,8748,µg/l,ug/L,1.00,APPROVED,EQUAL,Patrick Thoral,1686613387436,8748,microgram per liter,Unit,MAPS_TO,,<auto>,1686613235851,
186,,14537,,IE/l,[IU]/L,0.00,APPROVED,EQUAL,Patrick Thoral,1686614253561,8923,international unit per liter,Unit,MAPS_TO,,Patrick Thoral,1686614251109,
44,nanomole per liter,3783,8736,nmol/l,nmol/L,1.00,APPROVED,EQUAL,Patrick Thoral,1686613388149,8736,nanomole per liter,Unit,MAPS_TO,,<auto>,1686613235856,
46,milliliter per hour,5381147,44777613,ml/uur,mL/h,1.00,APPROVED,EQUAL,Patrick Thoral,1686613391982,44777613,milliliter per hour,Unit,MAPS_TO,,<auto>,1686613235871,
315,,10,,pmol/RBC,pmol/{RBC},0.00,APPROVED,UNMATCHED,Patrick Thoral,1710146937781,0,Unmapped,,MAPS_TO,,,0,
31,parts per million,128,9387,ppm,[ppm],1.00,APPROVED,EQUAL,Patrick Thoral,1686613392690,9387,parts per million,Unit,MAPS_TO,,<auto>,1686613235878,
36,kilocalorie,33,710194,kcal,kcal,1.00,APPROVED,EQUAL,Patrick Thoral,1686613393537,710194,kilocalorie,Unit,MAPS_TO,,<auto>,1686613235882,
316,millimole per 24 hours,1515,8910,mmol/24uur,mmol/(24.h),1.00,APPROVED,EQUAL,Patrick Thoral,1686613395615,8910,millimole per 24 hours,Unit,MAPS_TO,,<auto>,1686613235885,
37,year,1588,9448,jaar,a,1.00,APPROVED,EQUAL,Patrick Thoral,1686613396334,9448,year,Unit,MAPS_TO,,<auto>,1686613235886,
55,femtoliter,8183,8583,fl,fL,1.00,APPROVED,EQUAL,Patrick Thoral,1686613397060,8583,femtoliter,Unit,MAPS_TO,,<auto>,1686613235899,
56,micromole,8636,9667,µmol,umol,1.00,APPROVED,EQUAL,Patrick Thoral,1686613397843,9667,micromole,Unit,MAPS_TO,,<auto>,1686613235902,
309,,121792,,µV,uV,0.00,APPROVED,UNMATCHED,Patrick Thoral,1710146814916,0,Unmapped,,MAPS_TO,,,0,
329,,19,,%neg,%{negative},0.00,APPROVED,UNMATCHED,Patrick Thoral,1710147455721,0,Unmapped,,MAPS_TO,,,0,
59,degree Celsius,8594395,586323,°C,Cel,1.00,APPROVED,EQUAL,Patrick Thoral,1686613398784,586323,degree Celsius,Unit,MAPS_TO,,<auto>,1686613235913,
331,milligram per gram,3,8723,mg/g,mg/g,1.00,APPROVED,EQUAL,Patrick Thoral,1686613399405,8723,milligram per gram,Unit,MAPS_TO,,<auto>,1686613235934,
340,,3,,% I.S.,%{IS},0.00,APPROVED,UNMATCHED,Patrick Thoral,1710147868518,0,Unmapped,,MAPS_TO,,,0,
187,,776,,IE/ml,[IU]/mL,0.00,APPROVED,EQUAL,Patrick Thoral,1686613815606,8985,international unit per milliliter,Unit,MAPS_TO,,Patrick Thoral,1686613813617,
164,,15082080,,ml/cmH2O,mL/cm[H2O],0.00,APPROVED,INEXACT,Patrick Thoral,1686695446038,720866,millibar per centimeter of water,Unit,MAPS_TO,error,Patrick Thoral,1686695429129,
165,attomole,7959,710189,amol,amol,1.00,APPROVED,EQUAL,Patrick Thoral,1686613400999,710189,attomole,Unit,MAPS_TO,,<auto>,1686613236006,
170,milliliter per kilogram,1314,9571,ml/kg,mL/kg,1.00,APPROVED,EQUAL,Patrick Thoral,1686613402001,9571,milliliter per kilogram,Unit,MAPS_TO,,<auto>,1686613236010,
311,,128371,,ml/min/1.73m2,mL/min/{1.73_m2},0.00,APPROVED,EQUAL,Patrick Thoral,1686614162065,720870,milliliter per minute per 1.73 square meter,Unit,MAPS_TO,,Patrick Thoral,1686614159970,
312,microgram per gram,12,8720,µg/g,ug/g,1.00,APPROVED,EQUAL,Patrick Thoral,1686613402896,8720,microgram per gram,Unit,MAPS_TO,,<auto>,1686613236019,
61,,498,,g/dl,"g/dL,",0.00,APPROVED,EQUAL,Patrick Thoral,1686613762959,8713,gram per deciliter,Unit,MAPS_TO,,Patrick Thoral,1686613761096,
152,kilopascal,18856,44777602,kPa,kPa,1.00,APPROVED,EQUAL,Patrick Thoral,1686613403832,44777602,kilopascal,Unit,MAPS_TO,,<auto>,1686613236027,
50,centimeter,59842,8582,cm,cm,1.00,APPROVED,EQUAL,Patrick Thoral,1686613404746,8582,centimeter,Unit,MAPS_TO,,<auto>,1686613236029,
51,millimeter,284914054,8588,mm,mm,1.00,APPROVED,EQUAL,Patrick Thoral,1686613405723,8588,millimeter,Unit,MAPS_TO,,<auto>,1686613236031,
157,micromole per 24 hours,64,8907,µmol/24uur,umol/(24.h),1.00,APPROVED,EQUAL,Patrick Thoral,1686613408231,8907,micromole per 24 hours,Unit,MAPS_TO,,<auto>,1686613236032,
334,,8,,µg.uur/l,ug.h/L,0.00,APPROVED,UNMATCHED,Patrick Thoral,1710147841937,0,Unmapped,,MAPS_TO,,,0,
6,milliliter,51146175,8587,ml,mL,1.00,APPROVED,EQUAL,Patrick Thoral,1686613409633,8587,milliliter,Unit,MAPS_TO,,<auto>,1686613236036,
53,trillion per liter,12739,8734,10^12/l,10*12/L,1.00,APPROVED,EQUAL,Patrick Thoral,1686613411856,8734,trillion per liter,Unit,MAPS_TO,,<auto>,1686613236038,
8,liter,8583866,8519,l,L,1.00,APPROVED,EQUAL,Patrick Thoral,1686613412953,8519,liter,Unit,MAPS_TO,,<auto>,1686613236038,
161,millimeter per hour,18632,8752,mm/uur,mm/h,1.00,APPROVED,EQUAL,Patrick Thoral,1686613414191,8752,millimeter per hour,Unit,MAPS_TO,,<auto>,1686613236039,
9,gram,9,8504,g,g,1.00,APPROVED,EQUAL,Patrick Thoral,1686613415473,8504,gram,Unit,MAPS_TO,,<auto>,1686613236039,
12,kilogram,16444,9529,kg,kg,1.00,APPROVED,EQUAL,Patrick Thoral,1686613416583,9529,kilogram,Unit,MAPS_TO,,<auto>,1686613236042,
3,second,34052656,8555,sec,s,1.00,APPROVED,EQUAL,Patrick Thoral,1686613417654,8555,second,Unit,MAPS_TO,,<auto>,1686613236043,
4,minute,63,8550,min,min,1.00,APPROVED,EQUAL,Patrick Thoral,1686613418815,8550,minute,Unit,MAPS_TO,,<auto>,1686613236046,
15,per minute,63917967,8541,/min,/min,1.00,APPROVED,EQUAL,Patrick Thoral,1686613421425,8541,per minute,Unit,MAPS_TO,,<auto>,1686613236046,
24,milliliter per minute,16700735,8795,ml/min,mL/min,1.00,APPROVED,EQUAL,Patrick Thoral,1686613422364,8795,milliliter per minute,Unit,MAPS_TO,,<auto>,1686613236051,
5,hour,2829643,8505,uur,h,1.00,APPROVED,EQUAL,Patrick Thoral,1686613423333,8505,hour,Unit,MAPS_TO,,<auto>,1686613236051,
26,liter per minute,46828019,8698,l/min,L/min,1.00,APPROVED,EQUAL,Patrick Thoral,1686613424228,8698,liter per minute,Unit,MAPS_TO,,<auto>,1686613236057,
191,,81567918,,Geen,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,Keep Unchecked. CDM expects MEASUREMENTS without unit to have unit_concept_id = NULL (instead of '0'),,0,
171,,666,,Aantal,{#},0.00,APPROVED,EQUAL,Patrick Thoral,1711295894588,8524,times,Unit,MAPS_TO,,Patrick Thoral,1711295873092,
0,,64697146,,None,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,Keep Unchecked. CDM expects MEASUREMENTS without unit to have unit_concept_id = NULL (instead of '0'),,0,
1,,3559,,dynes.sec.cm-5,dyn.s.cm-5,0.00,APPROVED,EQUAL,Patrick Thoral,1686614463804,32703,dyne-second per centimeter to the fifth power,Unit,MAPS_TO,,Patrick Thoral,1686614462608,
2,millisecond,351,9593,msec,ms,1.00,APPROVED,EQUAL,Patrick Thoral,1686613425290,9593,millisecond,Unit,MAPS_TO,,<auto>,1686613236209,
