sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:source_concept,ADD_INFO:ordercategoryid,ADD_INFO:ordercategoryname,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
9341,Removing stitches,35,,Hechtingen-verwijderen,89,Opdr. Overig,0.55,APPROVED,EQUAL,Patrick Thoral,1695848751862,4147691,Removal of suture,Procedure,MAPS_TO,,Patrick Thoral,1695848750538,
16906,Replace PUR probe,280,,PURsonde vervangen,90,Opdr. Lijnen/Catheter/Drains,0.45,APPROVED,EQUAL,Patrick Thoral,1695846046152,4013485,Replacement of nasogastric tube,Procedure,MAPS_TO,,Patrick Thoral,1695846045140,
9462,Restart protocol clearing lines,24,,Herstart protocol lijnen verschonen,90,Opdr. Lijnen/Catheter/Drains,0.47,APPROVED,EQUAL,Patrick Thoral,1695846062302,4299593,Infusion care management,Procedure,MAPS_TO,,Patrick Thoral,1695846061675,
12410,Citrate-CVVH T= 10 min,30,,Citraat-CVVH T= 10 min,73,Opdr. Laboratorium afname,0.40,APPROVED,EQUAL,Patrick Thoral,1695766042546,4218408,Collection of blood specimen for laboratory,Procedure,MAPS_TO,,Patrick Thoral,1695766036186,
9255,Transesophageal echocardiography (TEE),129,,Transoesofageale echocardiografie (TEE),81,Opdr. Circulatie,0.81,APPROVED,EQUAL,Patrick Thoral,1695766514949,4019824,Transesophageal echocardiography,Procedure,MAPS_TO,,<auto>,1685919512127,
10432,IABP Cath. & Insertion opening control,10611,,IABP Cath. & Insteekopening controle,81,Opdr. Circulatie,0.53,APPROVED,INEXACT,Patrick Thoral,1685924435925,44783082,Arterial catheter care assessment,Procedure,MAPS_TO,,Patrick Thoral,1685924434795,
9343,Jejunal fistula injection,760,,Jejunumfistel doorspuiten,84,Opdr. Gastro-Intestinaal,0.80,APPROVED,EQUAL,Patrick Thoral,1695841610573,4067405,Irrigation of enterostomy,Procedure,MAPS_TO,,Patrick Thoral,1695841609305,
9466,Start .CVVH,873,,.CVVH starten,105,Opdr. CVVH,0.38,APPROVED,EQUAL,Patrick Thoral,1695763096401,4051330,Continuous venovenous hemofiltration,Procedure,MAPS_TO,,Patrick Thoral,1695763095260,
10434,Change IABP pressure bag,605,,IABP drukzak verwisselen,81,Opdr. Circulatie,0.51,APPROVED,EQUAL,Patrick Thoral,1695761845859,4142475,Intraaortic balloon pump maintenance,Procedure,MAPS_TO,,Patrick Thoral,1695761845071,
12411,Citrate-CVVH T= 60 min,29,,Citraat-CVVH T= 60 min,73,Opdr. Laboratorium afname,0.39,APPROVED,EQUAL,Patrick Thoral,1695766042546,4218408,Collection of blood specimen for laboratory,Procedure,MAPS_TO,,Patrick Thoral,1695766036186,
9256,Transthoracic echocardiography (TTE) old,4,,Transthoracale echocardiografie (TTE) oud,81,Opdr. Circulatie,0.72,APPROVED,EQUAL,Patrick Thoral,1695766513935,4335825,Transthoracic echocardiography,Procedure,MAPS_TO,,<auto>,1685919514592,
10435,7D lab. Daily small,331,,7D Lab. Dagelijks klein,73,Opdr. Laboratorium afname,0.32,APPROVED,EQUAL,Patrick Thoral,1695766042546,4218408,Collection of blood specimen for laboratory,Procedure,MAPS_TO,,Patrick Thoral,1695766036186,
9467,Start CVVH anticoagulants,520,,CVVH anti-coagulantia starten,105,Opdr. CVVH,0.50,APPROVED,UNMATCHED,Patrick Thoral,1695764055482,0,Unmapped,,MAPS_TO,,,0,
16918,Control position substitution line (predilution),5265,,Controle positie substitutielijn (predilutie),105,Opdr. CVVH,0.44,APPROVED,INEXACT,Patrick Thoral,1695763607090,44791814,Checking equipment,Procedure,MAPS_TO,,Patrick Thoral,1695763606192,
9344,Pacemaker Ventr Thresholds (Output),846,,Pacemaker Ventr.drempelen (Output),81,Opdr. Circulatie,0.42,APPROVED,EQUAL,Patrick Thoral,1695762116284,4140976,Check artificial pacemaker for amperage threshold,Procedure,MAPS_TO,,Patrick Thoral,1695762115358,
12412,Citrate-CVVH T= 180 min,28,,Citraat-CVVH T= 180 min,73,Opdr. Laboratorium afname,0.39,APPROVED,EQUAL,Patrick Thoral,1695766042546,4218408,Collection of blood specimen for laboratory,Procedure,MAPS_TO,,Patrick Thoral,1695766036186,
9473,stop CVVH,56,,CVVH stoppen,105,Opdr. CVVH,0.50,APPROVED,UNMATCHED,Patrick Thoral,1695764046456,0,Unmapped,,MAPS_TO,,,0,
9257,Echo-Upper Abdomen,113,,Echo-Bovenbuik,103,Opdr. Radiologie,0.65,APPROVED,EQUAL,Patrick Thoral,1695767442592,4303684,US scan of upper abdomen,Procedure,MAPS_TO,,Patrick Thoral,1695767430005,
9476,Intubate,162,,Intuberen,82,Opdr. Respiratie,0.95,APPROVED,EQUAL,Patrick Thoral,1695851309808,4202832,Intubation,Procedure,MAPS_TO,,<auto>,1685919526008,
9345,Check pulsations,3435,,Pulsaties controleren,81,Opdr. Circulatie,0.37,APPROVED,EQUAL,Patrick Thoral,1695762714313,42535695,Doppler ultrasonography of arteries of bilateral lower limbs,Procedure,MAPS_TO,,Patrick Thoral,1695762579604,
10436,7D lab. Monday thursday,94,,7D Lab. Maandag & Donderdag,73,Opdr. Laboratorium afname,0.31,APPROVED,EQUAL,Patrick Thoral,1695766042546,4218408,Collection of blood specimen for laboratory,Procedure,MAPS_TO,,Patrick Thoral,1695766036186,
16943,Pleural puncture diagnostic,26,,Pleurapunctie diagnostisch,82,Opdr. Respiratie,0.78,APPROVED,EQUAL,Patrick Thoral,1695851379223,4070693,Diagnostic pleurocentesis,Procedure,MAPS_TO,,Patrick Thoral,1695851377328,
9346,Sinus rinse,16,,Sinusspoeling,89,Opdr. Overig,0.43,APPROVED,EQUAL,Patrick Thoral,1695848960632,4200712,Irrigation of nasal sinus,Procedure,MAPS_TO,,Patrick Thoral,1695848959838,
9259,Save 24-hour urine,514,,24-uurs urine sparen,73,Opdr. Laboratorium afname,0.60,APPROVED,EQUAL,Patrick Thoral,1695772372757,4083913,"Urine specimen collection, 24 hours",Procedure,MAPS_TO,,Patrick Thoral,1695772371346,
12413,Citrate-CVVH T = 720 min,11,,Citraat-CVVH T = 720 min,73,Opdr. Laboratorium afname,0.40,APPROVED,EQUAL,Patrick Thoral,1695766000474,4218408,Collection of blood specimen for laboratory,Procedure,MAPS_TO,,Patrick Thoral,1695765996344,
9479,TED stockings on,1071,,TED kousen aan,87,Opdr. Houding & Beweging,0.63,APPROVED,EQUAL,Patrick Thoral,1695841622271,4021187,Application of antithromboembolic stockings,Procedure,MAPS_TO,,<auto>,1685919527168,
9260,Lumbar Puncture (LP),55,,Lumbaal Punctie (LP),83,Opdr. Neurologisch,0.68,APPROVED,EQUAL,Patrick Thoral,1695840772374,4080549,Lumbar puncture,Procedure,MAPS_TO,,<auto>,1685919516651,
10437,7D lab. Recording standard,134,,7D Lab. Opname standaard,73,Opdr. Laboratorium afname,0.26,APPROVED,EQUAL,Patrick Thoral,1695766042546,4218408,Collection of blood specimen for laboratory,Procedure,MAPS_TO,,Patrick Thoral,1695766036186,
12414,Citrate CVVH urine 24 hours,29,,Citraat-CVVH urine 24 uur,73,Opdr. Laboratorium afname,0.46,APPROVED,EQUAL,Patrick Thoral,1695766042546,4218408,Collection of blood specimen for laboratory,Procedure,MAPS_TO,,Patrick Thoral,1695766036186,
16944,Pleural puncture therapeutic,53,,Pleurapunctie therapeutisch,82,Opdr. Respiratie,0.80,APPROVED,EQUAL,Patrick Thoral,1695851463256,4083066,Drainage of pleural cavity,Procedure,MAPS_TO,,Patrick Thoral,1695851462104,
9352,Change infusion system TPV,696,,Infuussysteem TPV verschonen,90,Opdr. Lijnen/Catheter/Drains,0.43,APPROVED,EQUAL,Patrick Thoral,1695842833870,4237474,Parenteral feeding management,Procedure,MAPS_TO,,Patrick Thoral,1695842833331,
9480,Run synacthen test,668,,Synacthentest uitvoeren,89,Opdr. Overig,0.43,APPROVED,EQUAL,Patrick Thoral,1695848929893,40491846,Evaluation of endocrine system,Procedure,MAPS_TO,,Patrick Thoral,1695848928121,
9261,Measure bladder pressure,580,,Blaasdruk meten,85,Opdr. Urologisch,0.55,APPROVED,UNMATCHED,Patrick Thoral,1695852629590,0,Unmapped,,MAPS_TO,,,0,
10438,7D lab. recording large,320,,7D Lab. opname groot,73,Opdr. Laboratorium afname,0.26,APPROVED,EQUAL,Patrick Thoral,1695766042546,4218408,Collection of blood specimen for laboratory,Procedure,MAPS_TO,,Patrick Thoral,1695766036186,
16945,Laryngoscopy (In)direct,62,,Laryngoscopie (In)direct,82,Opdr. Respiratie,0.61,APPROVED,EQUAL,Patrick Thoral,1695851325451,4103523,Laryngoscopy,Procedure,MAPS_TO,,Patrick Thoral,1695851324600,
9353,Change gastric tube,1,,Maagsonde verwisselen,90,Opdr. Lijnen/Catheter/Drains,0.65,APPROVED,EQUAL,Patrick Thoral,1695766287329,4013485,Replacement of nasogastric tube,Procedure,MAPS_TO,,Patrick Thoral,1695766285922,
12415,Citrate CVVH urine 48 hours,18,,Citraat-CVVH urine 48 uur,73,Opdr. Laboratorium afname,0.45,APPROVED,EQUAL,Patrick Thoral,1695766000474,4218408,Collection of blood specimen for laboratory,Procedure,MAPS_TO,,Patrick Thoral,1695765996344,
9262,Bone marrow puncture,7,,Beenmerg punctie,89,Opdr. Overig,0.59,APPROVED,EQUAL,Patrick Thoral,1695841005307,4174208,Bone marrow aspiration procedure,Procedure,MAPS_TO,,Patrick Thoral,1695841004308,
9483,Haemodynamic profile,2266,,Haemodynamisch profiel,81,Opdr. Circulatie,0.67,APPROVED,EQUAL,Patrick Thoral,1695759262337,4196232,Hemodynamic measurements,Procedure,MAPS_TO,,Patrick Thoral,1695759260850,
10580,7D lab. Daily 6:00 a.m,6795,,7D Lab. Dagelijks 6.00 u,73,Opdr. Laboratorium afname,0.24,APPROVED,EQUAL,Patrick Thoral,1695766244382,4218408,Collection of blood specimen for laboratory,Procedure,MAPS_TO,,Patrick Thoral,1695766241185,
9484,Extubate,510,,Extuberen,82,Opdr. Respiratie,0.78,APPROVED,EQUAL,Patrick Thoral,1695850723244,4150627,Removal of endotracheal tube,Procedure,MAPS_TO,,Patrick Thoral,1695850721334,
9354,CAD (Silicone) replaced,33,,CAD (Silicone) vervangen,90,Opdr. Lijnen/Catheter/Drains,0.33,APPROVED,EQUAL,Patrick Thoral,1695842437032,4062183,Replacement of urinary catheter,Procedure,MAPS_TO,,Patrick Thoral,1695842435401,
19146,Schedule family conversation,1404,,Familiegesprek plannen,86,Opdr. Psycho-sociaal,0.41,APPROVED,UNMATCHED,Patrick Thoral,1695849770491,0,Unmapped,,MAPS_TO,,,0,
9263,Bone drilling,2,,Botboring,89,Opdr. Overig,0.85,APPROVED,EQUAL,Patrick Thoral,1695840971569,4257889,Insertion of needle for intraosseous infusion,Procedure,MAPS_TO,,Patrick Thoral,1695840967718,
10591,Start artificial noses,1897,,Kunstneuzen starten,82,Opdr. Respiratie,0.52,APPROVED,EQUAL,Patrick Thoral,1695851765574,4308797,Trial of spontaneous breathing,Procedure,MAPS_TO,,Patrick Thoral,1695851764452,
12416,Citrate CVVH urine 72 hours,14,,Citraat-CVVH urine 72 uur,73,Opdr. Laboratorium afname,0.45,APPROVED,EQUAL,Patrick Thoral,1695766000474,4218408,Collection of blood specimen for laboratory,Procedure,MAPS_TO,,Patrick Thoral,1695765996344,
9486,Stimulate sighing/coughing,368,,Doorzuchten/Hoesten stimuleren,82,Opdr. Respiratie,0.39,APPROVED,EQUAL,Patrick Thoral,1695851791382,4153936,Encouragement of deep breathing and coughing exercises,Procedure,MAPS_TO,,Patrick Thoral,1695851790271,
19357,Defibrillation x J,33,,Defibrillatie x J,81,Opdr. Circulatie,0.53,APPROVED,EQUAL,Patrick Thoral,1695759016265,4177682,Biphasic defibrillation procedure,Procedure,MAPS_TO,,Patrick Thoral,1695759012296,
10605,HI schedule T=0,2122,,HI-schema T=0,73,Opdr. Laboratorium afname,0.20,APPROVED,EQUAL,Patrick Thoral,1695766186970,4218408,Collection of blood specimen for laboratory,Procedure,MAPS_TO,,Patrick Thoral,1695766182142,
