sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:source_concept,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
12635,Tracheostomy,1940,,Tracheostoma,1.00,APPROVED,EQUAL,Patrick Thoral,1685874955607,4044008,Tracheostomy tube,Device,MAPS_TO,,Patrick Thoral,1685874954350,
15147,Diet - Ground food,49,,Dieet - Gemalen eten,0.44,APPROVED,EQUAL,Patrick Thoral,1695463043235,763368,Pureed diet,Procedure,MAPS_TO,,Patrick Thoral,1695463042531,
9614,Sheet Swan Ganz,3529,,Sheet Swan Ganz,0.45,APPROVED,EQUIVALENT,Patrick Thoral,1685874139593,4162232,Large-bore introducer,Device,MAPS_TO,,<auto>,1685488556570,
9431,Arm in sling,7,,Arm in draagband,0.83,APPROVED,EQUAL,Patrick Thoral,1695512944021,4224210,Arm sling,Device,MAPS_TO,,<auto>,1685488556579,
9175,Swan Ganz Subclavia,370,,Swan Ganz Subclavia,0.53,APPROVED,EQUAL,Patrick Thoral,1695514421751,4262295,Pulmonary artery catheter,Device,MAPS_TO,,Patrick Thoral,1685914817718,
9175,Swan Ganz Subclavia,370,,Swan Ganz Subclavia,0.53,APPROVED,EQUAL,Patrick Thoral,1695514421751,4311330,Structure of subclavian vein,Spec Anatomic Site,MAPS_TO_VALUE,,Patrick Thoral,1695514407597,
9400,wound drain 2,2387,,Wonddrain 2,0.96,APPROVED,EQUAL,Patrick Thoral,1685874736507,4119547,Wound drain,Device,MAPS_TO,,<auto>,1685488556710,
9167,Trilumen subclavia,2086,,Trilumen Subclavia,0.66,APPROVED,EQUIVALENT,Patrick Thoral,1711126470828,4179206,Central venous catheter,Device,MAPS_TO,,Patrick Thoral,1685874819224,
9167,Trilumen subclavia,2086,,Trilumen Subclavia,0.66,APPROVED,EQUIVALENT,Patrick Thoral,1711126470828,4311330,Structure of subclavian vein,Spec Anatomic Site,MAPS_TO_VALUE,,Patrick Thoral,1695514559065,
13483,PAC-PiCCO monitoring,157,,PAC-PiCCO monitoring,0.52,APPROVED,UNMATCHED,Patrick Thoral,1711405520644,0,Unmapped,,MAPS_TO,,,0,
