sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
NEU_Neurologie,NEU_Neurology,73175,,0.37,APPROVED,EQUAL,Patrick Thoral,1694812193847,38004458,Neurology,Provider,MAPS_TO,,<auto>,1694812091955,
NCH_Neurochirurgie,NCH_Neurosurgery,6304,,0.46,APPROVED,EQUAL,Patrick Thoral,1694812195689,38004459,Neurosurgery,Provider,MAPS_TO,,<auto>,1694812092032,
Technisch,Technical,29411,,0.71,APPROVED,EQUAL,Patrick Thoral,1694812224099,38004185,Other Technician,Provider,MAPS_TO,,<auto>,1694812092048,
DIET_Diëtetiek,DIET_Dietetics,186,,0.20,APPROVED,EQUAL,Patrick Thoral,1694812238111,38003690,Registered Dietitian,Provider,MAPS_TO,,Patrick Thoral,1694812236523,
KNF_Klinische neurofysiologie,KNF_Clinical neurophysiology,98,,0.50,APPROVED,EQUAL,Patrick Thoral,1694812243171,45756763,Clinical Neurophysiology,Provider,MAPS_TO,,<auto>,1694812092144,
ICV_Coassistent,ICV_Coassistant,85081,,0.22,APPROVED,EQUAL,Patrick Thoral,1694812342000,38004445,Student,Provider,MAPS_TO,,Patrick Thoral,1694812340216,
OOG_Oogheelkunde,EYE_Ophthalmology,22,,0.48,APPROVED,EQUAL,Patrick Thoral,1694812349327,38004463,Ophthalmology,Provider,MAPS_TO,,<auto>,1694812092193,
MMI_Medische microbiologie,MMI_Medical microbiology,99140,,0.41,APPROVED,EQUAL,Patrick Thoral,1694812352631,45756800,Microbiology,Provider,MAPS_TO,,<auto>,1694812092285,
Consulent,Consultant,9938,,0.81,APPROVED,EQUAL,Patrick Thoral,1694812446757,38003794,Specialist,Provider,MAPS_TO,,Patrick Thoral,1694812445008,
NEF_Nefrologie,NEF_Nephrology,70,,0.40,APPROVED,EQUAL,Patrick Thoral,1694812449356,38004479,Nephrology,Provider,MAPS_TO,,<auto>,1694812092380,
Systeem,System,25015893,,0.19,APPROVED,EQUAL,Patrick Thoral,1694812549705,38004692,Clinical Laboratory,Provider,MAPS_TO,,Patrick Thoral,1694812546918,
ICV_Familiebegeleiding,ICV_Family Guidance,9790,,0.24,APPROVED,INEXACT,Patrick Thoral,1694812599269,38003657,Clinical Social Worker,Provider,MAPS_TO,,Patrick Thoral,1694812597884,
LON_Longziekten,LON_Long diseases,2479,,0.18,APPROVED,EQUAL,Patrick Thoral,1694812613671,38004472,Pulmonary Disease,Provider,MAPS_TO,,Patrick Thoral,1694812612767,
PSY_Psychiatrische dienst,PSY_Psychiatric service,781,,0.42,APPROVED,EQUAL,Patrick Thoral,1694812619985,38004469,Psychiatry,Provider,MAPS_TO,,<auto>,1694812092601,
FYS_Fysiotherapie,FYS_Physiotherapy,394760,,0.32,APPROVED,EQUAL,Patrick Thoral,1694812625146,38004490,Physical Therapist,Provider,MAPS_TO,,<auto>,1694812092717,
PAST_Pastoraat,PAST_Pastorage,84,,0.10,APPROVED,EQUAL,Patrick Thoral,1694812629773,38003626,Pastoral Behavioral Health Counselor,Provider,MAPS_TO,,<auto>,1694812092728,
INW_Inwendige geneeskunde,INW_Internal medicine,140348,,0.41,APPROVED,EQUAL,Patrick Thoral,1694812632176,38004456,Internal Medicine,Provider,MAPS_TO,,<auto>,1694812092775,
V&G_Verloskunde & gyneacologie,H&S_Obstetrics & Gynecology,11085,,0.50,APPROVED,EQUAL,Patrick Thoral,1694812633883,38004461,Obstetrics / Gynecology,Provider,MAPS_TO,,<auto>,1694812092873,
ORT_Orthopedie,ORT_Orthopaedics,839,,0.36,APPROVED,EQUAL,Patrick Thoral,1694812652800,38004465,Orthopedic Surgery,Provider,MAPS_TO,,Patrick Thoral,1694812651053,
HEM_Hematologie,HEM_Hematology,6650,,0.38,APPROVED,EQUAL,Patrick Thoral,1694812654313,38004501,Hematology,Provider,MAPS_TO,,<auto>,1694812092964,
ICV_Administratief,ICV_Administrative,272725,,0.26,APPROVED,EQUAL,Patrick Thoral,1694812709327,38004154,Registered Record Administrator,Provider,MAPS_TO,,Patrick Thoral,1694812708103,
Uitzendkrachten,Temporary workers,18094,,0.54,APPROVED,EQUAL,Patrick Thoral,1694812732541,38003716,Registered Nurse,Provider,MAPS_TO,,Patrick Thoral,1694812730722,
,,1852076634,,0.00,APPROVED,UNREVIEWED,Patrick Thoral,1694812175216,0,Unmapped,,MAPS_TO,,,0,
ICV_Research,ICV_Research,7863,,0.21,APPROVED,EQUAL,Patrick Thoral,1694812754799,38003797,Study Nurse,Provider,MAPS_TO,,Patrick Thoral,1694812753783,
SEH_Spoed eisende hulp,SEH_Emergency urgent help,13867,,0.30,APPROVED,EQUAL,Patrick Thoral,1694812771547,38004510,Emergency Medicine,Provider,MAPS_TO,,Patrick Thoral,1694812770627,
Externe contacten,External contacts,100,,0.38,APPROVED,EQUAL,Patrick Thoral,1694812789489,38003794,Specialist,Provider,MAPS_TO,,Patrick Thoral,1694812788777,
ICV_Medisch,ICV_Medical,1972858,,0.13,APPROVED,EQUAL,Patrick Thoral,1694812801763,38004500,Critical care (intensivist),Provider,MAPS_TO,,Patrick Thoral,1694812800798,
HLK_Heelkunde,HLK_Surgery,45410,,0.31,APPROVED,EQUAL,Patrick Thoral,1694812813678,38004447,General Surgery,Provider,MAPS_TO,,Patrick Thoral,1694812813029,
CAR_Cardiologie,CAR_Cardiology,2,,0.43,APPROVED,EQUAL,Patrick Thoral,1694812822396,38004451,Cardiology,Provider,MAPS_TO,,<auto>,1694812093352,
ICV_MC-Verpleegkundig,ICV_MC-Nursing,7945392,,0.18,APPROVED,EQUAL,Patrick Thoral,1694812899738,38003719,Registered Critical Care Medicine Nurse,Provider,MAPS_TO,,Patrick Thoral,1694812898005,
