sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:source_concept,ADD_INFO:item,ADD_INFO:itemid,ADD_INFO:valueid,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
13130-3,Other neurology/neurosurgery,608,,Overige neurologie/neurochirurgie,D_Neurochirurgie_Overige,13130,3,0.32,APPROVED,EQUAL,Patrick Thoral,1711237783973,376337,Disorder of nervous system,Condition,MAPS_TO,,Patrick Thoral,1685384397210,
13130-3,Other neurology/neurosurgery,608,,Overige neurologie/neurochirurgie,D_Neurochirurgie_Overige,13130,3,0.32,APPROVED,EQUAL,Patrick Thoral,1711237783973,4041193,Operation on nervous system,Procedure,MAPS_TO,,Patrick Thoral,1711237778959,
18595-6,After respiratory arrest,39,,Na respiratoir arrest,Apache II Non-Operatief Respiratoir,18595,6,0.82,APPROVED,EQUAL,Patrick Thoral,1711230706764,317109,Respiratory arrest,Condition,MAPS_TO,,<auto>,1685372497491,
13120-9,Diagnosis different,417,,Diagnose anders,D_Algemene chirurgie_Vaatchirurgie,13120,9,0.64,APPROVED,EQUAL,Patrick Thoral,1711247949303,443784,Vascular disorder,Condition,MAPS_TO,,Patrick Thoral,1685386127027,
13120-9,Diagnosis different,417,,Diagnose anders,D_Algemene chirurgie_Vaatchirurgie,13120,9,0.64,APPROVED,EQUAL,Patrick Thoral,1711247949303,4148948,Vascular surgery procedure,Procedure,MAPS_TO,,Patrick Thoral,1711247936103,
13119-5,Video Assist Thoracoscopy,10,,Video Assist Thoracoscopie,D_Thoraxchirurgie_Pulmonale chirurgie,13119,5,0.42,APPROVED,EQUAL,Patrick Thoral,1711239012610,4238808,Empyema of pleura,Condition,MAPS_TO,,Patrick Thoral,1710012322147,
13119-5,Video Assist Thoracoscopy,10,,Video Assist Thoracoscopie,D_Thoraxchirurgie_Pulmonale chirurgie,13119,5,0.42,APPROVED,EQUAL,Patrick Thoral,1711239012610,40486150,Video assisted thoracoscopy,Procedure,MAPS_TO,,Patrick Thoral,1711239008374,
17021-15,"Renal failure, acute",92,,"Renal failure, acute",SEC_APACHE IV Non-operative genitourinary,17021,15,0.83,APPROVED,EQUAL,Patrick Thoral,1711230500290,197320,Acute kidney injury,Condition,MAPS_TO,,<auto>,1685372497788,
13119-3,Pneumectomy,94,,Pneumectomie,D_Thoraxchirurgie_Pulmonale chirurgie,13119,3,0.55,APPROVED,EQUAL,Patrick Thoral,1711244836918,258369,Primary malignant neoplasm of lung,Condition,MAPS_TO,,Patrick Thoral,1710031346089,
13119-3,Pneumectomy,94,,Pneumectomie,D_Thoraxchirurgie_Pulmonale chirurgie,13119,3,0.55,APPROVED,EQUAL,Patrick Thoral,1711244836918,4172438,Total pneumonectomy,Procedure,MAPS_TO,,Patrick Thoral,1711244835415,
18671-408,Post-operative transplant - Kidney transplant,401,,Post-operative transplant - Kidney transplant,NICE APACHEIV diagnosen,18671,408,0.55,APPROVED,EQUAL,Patrick Thoral,1711235403099,37018761,Chronic kidney disease stage 5 with transplant,Condition,MAPS_TO,,Patrick Thoral,1711228574259,
18671-408,Post-operative transplant - Kidney transplant,401,,Post-operative transplant - Kidney transplant,NICE APACHEIV diagnosen,18671,408,0.55,APPROVED,EQUAL,Patrick Thoral,1711235403099,4322471,Transplant of kidney,Procedure,MAPS_TO,,Patrick Thoral,1711235388660,
17005-9,"Effusions, pleural",62,,"Effusions, pleural",APACHEIV Non-operative respiratory,17005,9,0.74,APPROVED,EQUAL,Patrick Thoral,1711230694213,254061,Pleural effusion,Condition,MAPS_TO,,<auto>,1685372498124,
18673-722,"Postoperative cardiovascular - Sepsis, GI",6,,"Post-operative cardiovascular - Sepsis, GI",NICE SEC APACHEIV diagnosen,18673,722,0.60,APPROVED,EQUAL,Patrick Thoral,1711245524278,132797,Sepsis,Condition,MAPS_TO,,Patrick Thoral,1710032564610,
18673-722,"Postoperative cardiovascular - Sepsis, GI",6,,"Post-operative cardiovascular - Sepsis, GI",NICE SEC APACHEIV diagnosen,18673,722,0.60,APPROVED,EQUAL,Patrick Thoral,1711245524278,37396146,Gastrointestinal infection,Condition,MAPS_TO,,Patrick Thoral,1710032650643,
18673-722,"Postoperative cardiovascular - Sepsis, GI",6,,"Post-operative cardiovascular - Sepsis, GI",NICE SEC APACHEIV diagnosen,18673,722,0.60,APPROVED,EQUAL,Patrick Thoral,1711245524278,4012185,Cardiovascular surgical procedure,Procedure,MAPS_TO,,Patrick Thoral,1711245522517,
17025-52,"Overdose, street drugs (opiates, cocaine, amphetamine)",8,,"Overdose, street drugs (opiates, cocaine, amphetamine)",SEC_APACHEIV Non-operative neurologic,17025,52,0.43,APPROVED,EQUAL,Patrick Thoral,1711230500290,45769428,Illicit drug overdose,Condition,MAPS_TO,,Patrick Thoral,1710030915146,
17007-6,Abdomen/spinal trauma,3,,Abdomen/spinal trauma,APACHEIV Non-operative trauma,17007,6,0.49,APPROVED,EQUAL,Patrick Thoral,1711230694213,440921,Traumatic injury,Condition,MAPS_TO,,Patrick Thoral,1710019623061,
17007-6,Abdomen/spinal trauma,3,,Abdomen/spinal trauma,APACHEIV Non-operative trauma,17007,6,0.49,APPROVED,EQUAL,Patrick Thoral,1711230694213,200588,Injury of abdomen,Condition,MAPS_TO,,Patrick Thoral,1710019786088,
17007-6,Abdomen/spinal trauma,3,,Abdomen/spinal trauma,APACHEIV Non-operative trauma,17007,6,0.49,APPROVED,EQUAL,Patrick Thoral,1711230694213,4095850,Spinal injury,Condition,MAPS_TO,,Patrick Thoral,1710020642727,
13132-6,Neuromuscular diseases,33,,Neuro musculaire ziekten,D_Neurologie_Overige,13132,6,0.82,APPROVED,EQUAL,Patrick Thoral,1711230642812,44812002,Neuromuscular disorder,Condition,MAPS_TO,,<auto>,1685372498350,
17019-85,"Sepsis, renal/UTI (including bladder)",13,,"Sepsis, renal/UTI (including bladder)",SEC_APACHE IV Non-operative cardiovascular,17019,85,0.29,APPROVED,EQUAL,Patrick Thoral,1711230500290,132797,Sepsis,Condition,MAPS_TO,,Patrick Thoral,1696503854703,
17019-85,"Sepsis, renal/UTI (including bladder)",13,,"Sepsis, renal/UTI (including bladder)",SEC_APACHE IV Non-operative cardiovascular,17019,85,0.29,APPROVED,EQUAL,Patrick Thoral,1711230500290,81902,Urinary tract infectious disease,Condition,MAPS_TO,,Patrick Thoral,1696504012757,
16658-15,Respiratory failure,58,,Respiratoire insufficiëntie,DMC_Interne Geneeskunde_Pulmonaal,16658,15,1.00,APPROVED,EQUAL,Patrick Thoral,1711230623660,4256228,Respiratory failure,Condition,MAPS_TO,,<auto>,1685372498473,
18673-842,"Post-operative respiratory - Cancer oral/sinus, surgery for",2,,"Post-operative respiratory - Cancer oral/sinus, surgery for",NICE SEC APACHEIV diagnosen,18673,842,0.42,APPROVED,EQUAL,Patrick Thoral,1711244642684,4224115,Postoperative confusion,Condition,MAPS_TO,,<auto>,1685372498511,
18673-842,"Post-operative respiratory - Cancer oral/sinus, surgery for",2,,"Post-operative respiratory - Cancer oral/sinus, surgery for",NICE SEC APACHEIV diagnosen,18673,842,0.42,APPROVED,EQUAL,Patrick Thoral,1711244642684,25189,Malignant tumor of oral cavity,Condition,MAPS_TO,,Patrick Thoral,1710035768487,
