source_concept,count,source_concept_en
Neurologie,786,Neurology
Verloskunde,16,Obstetrics
,1301,
Longziekte,482,Lung disease
Heelkunde Gastro-enterologie,1205,Surgery Gastroenterology
Gynaecologie,180,Gynecology
Plastische chirurgie,40,Plastic surgery
Oncologie Inwendig,84,Oncology Internal
Intensive Care Volwassenen,1144,Intensive Care Adults
Cardiochirurgie,7417,Cardiosurgery
Mondheelkunde,20,Oral surgery
Heelkunde Oncologie,497,Surgery Oncology
Obstetrie,15,Obstetrics
Urologie,216,Urology
Orthopedie,204,Orthopedics
Neurochirurgie,2527,Neurosurgery
Cardiologie,1331,Cardiology
Inwendig,1364,Internally
Nefrologie,389,Nephrology
"Keel, Neus & Oorarts",376,"Throat, Nose & Ear Doctor"
"Maag-,Darm-,Leverziekten",189,"Stomach, intestinal, liver diseases"
Vaatchirurgie,1443,Vascular surgery
Hematologie,249,Hematology
Traumatologie,1163,Traumatology
Reumatologie,4,Rheumatology
ders,64,der
Heelkunde Longen/Oncologie,395,Surgery Lungs/Oncology
Oogheelkunde,5,Ophthalmology
