source_concept_id,source_concept,count,source_concept_en
0,None,1677,None
4,min,1993,min
5,uur,143,o'clock
6,ml,1474705,ml
8,l,71,l
9,g,244377,g
10,mg,1957179,mg
11,µg,17888,µg
12,kg,163,kg
14,mg/ml,1153,mg/ml
26,l/min,2,l/min
40,µg/ml,327,µg/ml
45,druppel,134697,drop
49,lbs,204,lbs
50,cm,145,cm
51,mm,240,mm
55,fl,551,fl
62,g/l,1,g/l
67,g/ml,17,g/ml
88,ml/dl,4,ml/dl
94,mmol,132837,mmol
100,dag,68,day
159,cel/µl,1,cell/µl
171,Aantal,18737,Number
178,E,175,E
179,10^6 E,45,10^6 E
180,IE,406522,IE
181,10^6 IE,3699,10^6 IE
182,Capsule,262,Capsule
191,Geen,41506,No
195,/ml,1,/ml
204,°,211,°
205,INR,6,INR
210,o/oo,36,o/o
214,x TOT,97,x TOTAL
215,kopie/ml,20,copy/ml
217,10^2 kopie/ml,8,10^2 copy/ml
223,Lik,280882,Lick
234,mmol/portie,2,mmol/portion
240,fIE,1,fIE
243,mIE,36,mIE
244,nIE,1,nIE
254,cg,4,cg
255,dg,131,dg
256,fg,152,fg
258,ng,2,ng
259,pg,7,pg
269,10^2,1,10^2
287,cl,20,cl
289,dl,2,dl
290,hl,3,hl
292,nl,1,NL
293,pl,7,pl
299,Puff,87902,Puff
305,Sachet,46874,sachet
306,Flacon,618,vial
318,Portie,50458,Portion
319,Dragee,315,dragee
332,AE/ml,26,AU/ml
338,Tablet,56,Tablet
