source_concept_id,source_concept,item_en,vocabulary_id,vocabulary_concept_code,vocabulary_concept_name,abbreviation,categoryid,category,category_en,ordercategoryid,ordercategory,islabresult,valueid,value,unitid,unit,ucum_code,low_normal_value,high_normal_value,expected_min_value,expected_max_value,table,count,count_validated,source_concept_en,concept_id,concept_name
6799-65,Abciximab (Reopro),,,,,Abciximab (Reopro),268,Medicatie,,65,2. Spuitpompen,,,,,,,,,,,drugitems,103,,Abciximab (Reopro),,
6799-25,Abciximab (Reopro),,,,,Abciximab (Reopro),268,Medicatie,,25,Injecties Haematologisch,,,,,,,,,,,drugitems,5,,Abciximab (Reopro),,
6802-32,Acenocoumarol (Sintrom mitis),acenocoumarol,ATC,B01AA07,acenocoumarol,Sintrom mitis,268,Medicatie,,32,Niet iv Overig,,,,,,,,,,,drugitems,2905,,acenocoumarol,21600967,acenocoumarol; oral
6804-27,Acetazolamide (Diamox),acetazolamide,ATC,S01EC01,acetazolamide,Acetazolamide,268,Medicatie,,27,Injecties Overig,,,,,,,,,,,drugitems,656,,acetazolamide,21603693,acetazolamide; systemic
6804-32,Acetazolamide (Diamox),acetazolamide,ATC,S01EC01,acetazolamide,Acetazolamide,268,Medicatie,,32,Niet iv Overig,,,,,,,,,,,drugitems,626,,acetazolamide,21603693,acetazolamide; systemic
6804-30,Acetazolamide (Diamox),acetazolamide,ATC,S01EC01,acetazolamide,Acetazolamide,268,Medicatie,,30,Niet iv Circulatie/Diurese,,,,,,,,,,,drugitems,2151,,acetazolamide,21603693,acetazolamide; systemic
6804-24,Acetazolamide (Diamox),acetazolamide,ATC,S01EC01,acetazolamide,Acetazolamide,268,Medicatie,,24,Injecties Circulatie/Diuretica,,,,,,,,,,,drugitems,3910,,acetazolamide,21603693,acetazolamide; systemic
6811-15,Aciclovir (Zovirax),aciclovir,ATC,J05AB01,aciclovir,Aciclovir,268,Medicatie,,15,Injecties Antimicrobiele middelen,,,,,,,,,,,drugitems,7846,,aciclovir,21603131,aciclovir; systemic
6816-24,Adenosine,,,,,Adenosine,268,Medicatie,,24,Injecties Circulatie/Diuretica,,,,,,,,,,,drugitems,217,,Adenosine,,
6818-65,Adrenaline (Epinefrine),epinephrine,ATC,C01CA24,epinephrine,Adrenaline,268,Medicatie,,65,2. Spuitpompen,,,,,,,,,,,drugitems,2195,,epinephrine,21600303,epinephrine; parenteral
6818-24,Adrenaline (Epinefrine),epinephrine,ATC,C01CA24,epinephrine,Adrenaline,268,Medicatie,,24,Injecties Circulatie/Diuretica,,,,,,,,,,,drugitems,520,,epinephrine,21600303,epinephrine; parenteral
6821-71,Alfacalcidol (Etalpha),,,,,Alfacalcidol,268,Medicatie,,71,Niet iv Hormonen/Vitaminen/Mineralen,,,,,,,,,,,drugitems,1254,,Alfacalcidol (Etalpha),,
6829-29,Amantadine (Symmetrel),,,,,Amantadine (Symmetrel),268,Medicatie,,29,Niet iv CZS/Sedatie/Analgetica,,,,,,,,,,,drugitems,36,,Amantadine (Symmetrel),,
6834-15,Amikacine (Amukin),,,,,Amikacin,268,Medicatie,,15,Injecties Antimicrobiele middelen,,,,,,,,,,,drugitems,103,,Amikacin (Amukin),,
6844-65,Amiodaron Oplaaddosis,amiodarone loading dose,ATC,C01BD01,amiodarone,Amiodaron Oplaaddosis,268,Medicatie,,65,2. Spuitpompen,,,,,,,,,,,drugitems,3450,,amiodarone loading dose,21600270,amiodarone; systemic
6847-65,Amoxicilline (Clamoxyl/Flemoxin),amoxicillin,ATC,J01CA04,amoxicillin,Amoxicilline,268,Medicatie,,65,2. Spuitpompen,,,,,,,,,,,drugitems,852,,amoxicillin,21602823,amoxicillin; systemic
6847-21,Amoxicilline (Clamoxyl/Flemoxin),amoxicillin,ATC,J01CA04,amoxicillin,Amoxicilline,268,Medicatie,,21,Niet iv Antimicrobiele middelen,,,,,,,,,,,drugitems,148,,amoxicillin,21602823,amoxicillin; systemic
6847-15,Amoxicilline (Clamoxyl/Flemoxin),amoxicillin,ATC,J01CA04,amoxicillin,Amoxicilline,268,Medicatie,,15,Injecties Antimicrobiele middelen,,,,,,,,,,,drugitems,11262,,amoxicillin,21602823,amoxicillin; systemic
6862-30,Atenolol  (Tenormin),atenolol,ATC,C07AB03,atenolol,Atenolol,268,Medicatie,,30,Niet iv Circulatie/Diurese,,,,,,,,,,,drugitems,1616,,atenolol,21601685,atenolol; systemic
6862-24,Atenolol  (Tenormin),atenolol,ATC,C07AB03,atenolol,Atenolol,268,Medicatie,,24,Injecties Circulatie/Diuretica,,,,,,,,,,,drugitems,213,,atenolol,21601685,atenolol; systemic
6864-31,Atropine sulfaat,,,,,Atropine sulfaat,268,Medicatie,,31,Niet iv Tractus Digestivus,,,,,,,,,,,drugitems,526,,Atropine sulfate,,
6864-24,Atropine sulfaat,,,,,Atropine sulfaat,268,Medicatie,,24,Injecties Circulatie/Diuretica,,,,,,,,,,,drugitems,323,,Atropine sulfate,,
6866-65,Octreotide (Sandostatine),,,,,Octreotide (Sandostatine),268,Medicatie,,65,2. Spuitpompen,,,,,,,,,,,drugitems,383,,Octreotide (Sandostatin),,
6866-67,Octreotide (Sandostatine),,,,,Octreotide (Sandostatine),268,Medicatie,,67,Injecties Hormonen/Vitaminen/Mineralen,,,,,,,,,,,drugitems,976,,Octreotide (Sandostatin),,
6871-65,Benzylpenicilline (Penicilline),benzylpenicillin,ATC,J01CE01,benzylpenicillin,Benzylpenicilline,268,Medicatie,,65,2. Spuitpompen,,,,,,,,,,,drugitems,2279,,benzylpenicillin,21602841,benzylpenicillin; parenteral
6871-15,Benzylpenicilline (Penicilline),benzylpenicillin,ATC,J01CE01,benzylpenicillin,Benzylpenicilline,268,Medicatie,,15,Injecties Antimicrobiele middelen,,,,,,,,,,,drugitems,555,,benzylpenicillin,21602841,benzylpenicillin; parenteral
6874-29,Biperideen (Akineton),,,,,Biperideen,268,Medicatie,,29,Niet iv CZS/Sedatie/Analgetica,,,,,,,,,,,drugitems,78,,Biperidene (Akinetone),,
6874-23,Biperideen (Akineton),,,,,Biperideen,268,Medicatie,,23,Injecties CZS/Sedatie/Analgetica,,,,,,,,,,,drugitems,67,,Biperidene (Akinetone),,
6876-31,Bisacodil (Dulcolax),,,,,Bisacodil,268,Medicatie,,31,Niet iv Tractus Digestivus,,,,,,,,,,,drugitems,256,,Bisacodil (Dulcolax),,
6877-32,Bromocriptinium (Parlodel),,,,,Bromocriptinium (Parlodel),268,Medicatie,,32,Niet iv Overig,,,,,,,,,,,drugitems,20,,Bromocriptinium (Parlodel),,
6879-26,Omeprazol (Losec),omeprazole,ATC,A02BC01,omeprazole,Omeprazol,268,Medicatie,,26,Injecties Tractus Digestivus,,,,,,,,,,,drugitems,305,,omeprazole,21600096,omeprazole; systemic
6880-70,Pulmicort aerosol,,,,,Budesonide,268,Medicatie,,70,Niet iv Tractus Respiratorius,,,,,,,,,,,drugitems,1963,,Pulmicort aerosol,,
6882-65,Bumetanide (Burinex),bumetanide,ATC,C03CA02,bumetanide,Bumetanide,268,Medicatie,,65,2. Spuitpompen,,,,,,,,,,,drugitems,39,,bumetanide,21601519,bumetanide; systemic
6882-30,Bumetanide (Burinex),bumetanide,ATC,C03CA02,bumetanide,Bumetanide,268,Medicatie,,30,Niet iv Circulatie/Diurese,,,,,,,,,,,drugitems,595,,bumetanide,21601519,bumetanide; systemic
6882-24,Bumetanide (Burinex),bumetanide,ATC,C03CA02,bumetanide,Bumetanide,268,Medicatie,,24,Injecties Circulatie/Diuretica,,,,,,,,,,,drugitems,59,,bumetanide,21601519,bumetanide; systemic
6883-29,Oxazepam (Seresta),oxazepam,ATC,N05BA04,oxazepam,Oxazepam,268,Medicatie,,29,Niet iv CZS/Sedatie/Analgetica,,,,,,,,,,,drugitems,33358,,oxazepam,21604569,oxazepam; oral
6887-23,Pancuronium (Pavulon),,,,,Pancuronium (Pavulon),268,Medicatie,,23,Injecties CZS/Sedatie/Analgetica,,,,,,,,,,,drugitems,1,,Pancuronium (Pavulon),,
6891-29,Paracetamol,paracetamol,ATC,N02BE01,paracetamol,Paracetamol,268,Medicatie,,29,Niet iv CZS/Sedatie/Analgetica,,,,,,,,,,,drugitems,166397,,paracetamol,21604344,"paracetamol; systemic, rectal"
6891-23,Paracetamol,paracetamol,ATC,N02BE01,paracetamol,Paracetamol,268,Medicatie,,23,Injecties CZS/Sedatie/Analgetica,,,,,,,,,,,drugitems,29595,,paracetamol,21604344,"paracetamol; systemic, rectal"
6894-29,Paroxetinechloride (Seroxat),,,,,ParoxetineChloride,268,Medicatie,,29,Niet iv CZS/Sedatie/Analgetica,,,,,,,,,,,drugitems,812,,Paroxetine chloride (Seroxat),,
6898-31,Scopalaminebutyl (Buscopan),,,,,Scopalaminebutyl (Buscopan),268,Medicatie,,31,Niet iv Tractus Digestivus,,,,,,,,,,,drugitems,155,,Scopalamine butyl (Buscopan),,
6898-26,Scopalaminebutyl (Buscopan),,,,,Scopalaminebutyl (Buscopan),268,Medicatie,,26,Injecties Tractus Digestivus,,,,,,,,,,,drugitems,710,,Scopalamine butyl (Buscopan),,
6902-30,Captopril (Capoten),captopril,ATC,C09AA01,captopril,Captopril,268,Medicatie,,30,Niet iv Circulatie/Diurese,,,,,,,,,,,drugitems,23012,,captopril,21601785,captopril; oral
6904-29,Pipamperon (Dipiperon),,,,,Pipamperon,268,Medicatie,,29,Niet iv CZS/Sedatie/Analgetica,,,,,,,,,,,drugitems,57,,Pipamperone (Dipiperone),,
6906-29,Carbamazepine (Tegretol),,,,,Carbamazepine,268,Medicatie,,29,Niet iv CZS/Sedatie/Analgetica,,,,,,,,,,,drugitems,1913,,Carbamazepine (Tegretol),,
6908-29,Carbasalaat Calcium,carbasalate calcium,ATC,B01AC08,carbasalate calcium,CarbasalaatCalcium,268,Medicatie,,29,Niet iv CZS/Sedatie/Analgetica,,,,,,,,,,,drugitems,374,,carbasalate calcium,21600993,carbasalate calcium; oral (platelet aggregation inhibitors excl. heparin)
6910-29,Piritramide (Dipidolor),piritramide,ATC,N02AC03,piritramide,Piritramide (Dipidolor),268,Medicatie,,29,Niet iv CZS/Sedatie/Analgetica,,,,,,,,,,,drugitems,591,,piritramide,21604277,piritramide; parenteral
6910-23,Piritramide (Dipidolor),piritramide,ATC,N02AC03,piritramide,Piritramide (Dipidolor),268,Medicatie,,23,Injecties CZS/Sedatie/Analgetica,,,,,,,,,,,drugitems,2634,,piritramide,21604277,piritramide; parenteral
6917-15,Ceftazidim (Fortum),ceftazidime,ATC,J01DD02,ceftazidime,Ceftazidim (Fortum),268,Medicatie,,15,Injecties Antimicrobiele middelen,,,,,,,,,,,drugitems,4888,,ceftazidime,21602896,ceftazidime; parenteral
6919-15,Cefotaxim (Claforan),cefotaxime,ATC,J01DD01,cefotaxime,Cefotaxim,268,Medicatie,,15,Injecties Antimicrobiele middelen,,,,,,,,,,,drugitems,29321,,cefotaxime,21602895,cefotaxime; parenteral
6922-71,Prednisolon (Prednison),prednisolone,ATC,H02AB06,prednisolone,Prednisolon,268,Medicatie,,71,Niet iv Hormonen/Vitaminen/Mineralen,,,,,,,,,,,drugitems,2326,,prednisolone,21602734,prednisolone; systemic
6922-67,Prednisolon (Prednison),prednisolone,ATC,H02AB06,prednisolone,Prednisolon,268,Medicatie,,67,Injecties Hormonen/Vitaminen/Mineralen,,,,,,,,,,,drugitems,6341,,prednisolone,21602734,prednisolone; systemic
6927-65,Procainamide (Pronestyl),,,,,Procainamide,268,Medicatie,,65,2. Spuitpompen,,,,,,,,,,,drugitems,97,,Procainamide (Pronestyl),,
6927-24,Procainamide (Pronestyl),,,,,Procainamide,268,Medicatie,,24,Injecties Circulatie/Diuretica,,,,,,,,,,,drugitems,22,,Procainamide (Pronestyl),,
6929-27,Promethazine (Phenergan),,,,,Promethazine,268,Medicatie,,27,Injecties Overig,,,,,,,,,,,drugitems,39,,Promethazine (Phenergan),,
6929-32,Promethazine (Phenergan),,,,,Promethazine,268,Medicatie,,32,Niet iv Overig,,,,,,,,,,,drugitems,85,,Promethazine (Phenergan),,
