source_concept_id,source_concept,item_en,vocabulary_id,vocabulary_concept_code,vocabulary_concept_name,abbreviation,categoryid,category,category_en,ordercategoryid,ordercategory,islabresult,valueid,value,unitid,unit,ucum_code,low_normal_value,high_normal_value,expected_min_value,expected_max_value,table,count,count_validated,source_concept_en
10765,RSV IF (nasophar.wat),,,,,RSV IF (nasophar.wat),513,LAB-Viro-Micro-nasophar.wat,,,,1,,,,,,,,,,freetextitems,5,5,RSV IF (nasophar.wat)
10766,VIRUSkweek (br.-alv.lav),,,,,VIRUSkweek (br.-alv.lav),514,LAB-Viro-Micro-BAL,,,,1,,,,,,,,,,freetextitems,70,70,VIRUSbreeding (br.-alv.lav)
10768,VIRUSkweek (blaasjesv.),,,,,VIRUSkweek (blaasjesv.),516,LAB-Viro-Micro-blaasjes,,,,1,,,,,,,,,,freetextitems,40,40,VIRUS culture (vesicle v.)
10771,VIRUSkweek (huiduitstr.),,,,,VIRUSkweek (huiduitstr.),519,LAB-Viro-Micro-huiduitstr.,,,,1,,,,,,,,,,freetextitems,33,33,VIRUS culture (skin shedding)
10773,VIRUSkweek (monduitstr.),,,,,VIRUSkweek (monduitstr.),521,LAB-Viro-Micro-monduitstr.,,,,1,,,,,,,,,,freetextitems,8,8,VIRUS culture (mouth shedding)
10775,VIRUSkweek (nasophar.wat),,,,,VIRUSkweek (nasophar.wat),513,LAB-Viro-Micro-nasophar.wat,,,,1,,,,,,,,,,freetextitems,1,1,VIRUS culture (nasophar.wat)
10779,VIRUSkweek (pleurapunct.),,,,,VIRUSkweek (pleurapunct.),526,LAB-Viro-Micro-pleurapunct.,,,,1,,,,,,,,,,freetextitems,4,4,VIRUS culture (pleural puncture)
10780,VIRUSkweek (sputum),,,,,VIRUSkweek (sputum),527,LAB-Viro-Micro-sputum,,,,1,,,,,,,,,,freetextitems,103,103,VIRUS culture (sputum)
10786,VIRUSkweek (punctaat),,,,,VIRUSkweek (punctaat),533,LAB-Viro-Micro-punctaat,,,,1,,,,,,,,,,freetextitems,1,1,VIRUS culture (punctuate)
10788,VIROL.MAT. (blaasjesv.),,,,,VIROL.MAT. (blaasjesv.),516,LAB-Viro-Micro-blaasjes,,,,1,,,,,,,,,,freetextitems,1,1,VIROL.MAT. (vesiclesv.)
10792,VIROL.MAT. (huiduitstr.),,,,,VIROL.MAT. (huiduitstr.),519,LAB-Viro-Micro-huiduitstr.,,,,1,,,,,,,,,,freetextitems,1,1,VIROL.MAT. (skin spread)
10800,VIROL.MAT. (pleurapunct.),,,,,VIROL.MAT. (pleurapunct.),526,LAB-Viro-Micro-pleurapunct.,,,,1,,,,,,,,,,freetextitems,3,3,VIROL.MAT. (pleural punct.)
10802,VIROL.MAT. (sputum),,,,,VIROL.MAT. (sputum),527,LAB-Viro-Micro-sputum,,,,1,,,,,,,,,,freetextitems,12,12,VIROL.MAT. (sputum)
10808,VIROL.MAT. (punctaat),,,,,VIROL.MAT. (punctaat),533,LAB-Viro-Micro-punctaat,,,,1,,,,,,,,,,freetextitems,1,1,VIROL.MAT. (punctuate)
10812,Mycoplasma pneumoniae DNA PCR (br.-alv.lav),,,,,Mycoplasma pneumoniae DNA PCR (br.-alv.lav),514,LAB-Viro-Micro-BAL,,,,1,,,,,,,,,,freetextitems,108,108,Mycoplasma pneumoniae DNA PCR (br.-alv.lav)
