source_concept,count,source_concept_en
(Cel)cilinders?,125,(Cell) cylinders?
(Controle) leukemie,11,(Control) leukemia
(Controle) leukemie (AML),1,(Control) leukemia (AML)
+,8621,+
++,3352,++
+++,4775,+++
<1:100,1,<1:100
<1:20,3,<1:20
<1:40,63,<1:40
<1:80,2,<1:80
<10,14,<10
<1000,5,<1000
<5,37,<5
<500,41,<500
> 20,2,>20
>=1:320,11,>=1:320
>100,3,>100
>1000,3,>1000
>1000.0,5,>1000.0
>100000,4,>100000
>20,1023,>20
>200000,1,>200000
>500,1,>500
>60,93,>60
0,12,0
0-10,30,0-10
0-10%,3,0-10%
0-5,2737,0-5
0.3,1,0.3
1,1,1
1 leucocilinder gezien,1,Seen 1 leuco cylinder
"1,025",1,"1,025"
1.020,1,"1,020"
1:160,7,1:160
1:2,1,1:2
1:4,1,1:4
1:40,24,1:40
1:64,1,1:64
1:8,1,1:8
1:80,26,1:80
10-20,579,10-20
10.7,1,10.7
100,2,100
100%,11,100%
1000,1,1000
106.5,1,106.5
107.2,1,107.2
107.8,1,107.8
11,2,11
1100,2,1100
1200,2,1200
12000,1,12000
122 ug/ml Dabigatran gemeten,1,122 ug/ml Dabigatran measured
125,1,125
13,1,13
13.5,1,13.5
1300,2,1300
13000,1,13000
14,1,14
14.0,1,14.0
1400,3,1400
145.5,1,145.5
15,1,15
16.2,1,16.2
16.7,1,16.7
1600,1,1600
166.9,1,166.9
1700,2,1700
17000,1,17000
175.2,1,175.2
18.0,1,18.0
1800,3,1800
18000,1,18000
182,1,182
184.1,2,184.1
2-CA-FOS,2,2-CA-FOS
2-WEKEN,4,2 WEEKS
20-40,40,20-40
200 cellen geteld,1,200 cells counted
"200 cellen geteld, relatief veel macrofagen",1,"200 cells counted, relatively many macrophages"
"200 cellen geteld, toename macrofagen",1,"200 cells counted, increase in macrophages"
2000,2,2000
20659 P,1,20659 P
2100,2,2100
21224 P,1,21224 P
21281 M,1,21281 M
21393 P,1,21393 P
21436 M,1,21436 M
21603 M,1,21603 M
21651 P,1,21651 P
219,1,219
22.4,1,22.4
2200,1,2200
22000000,1,22000000
22513 M,1,22513 M
22587 P,1,22587 P
22708 P,1,22708 P
22842 M,1,22842 M
2300,1,2300
23228 P,1,23228 P
23427 P,1,23427 P
23981 M,1,23981 M
24,1,24
"24-uurs urine niet geschikt voor de aangevraagde bepalingen, graag feces insturen!!",1,"24-hour urine not suitable for the requested determinations, please submit feces!!"
24116 P,1,24116 P
24139 P,1,24139 P
24216 M,1,24216 M
24285 P,1,24285 P
24721 M,1,24721 M
24727 P,1,24727 P
24886 P,1,24886 P
25033 P,1,25033 P
251.0,1,251.0
252.0,1,252.0
25224 M,1,25224 M
25230 P,2,25230 P
25398 P,2,25398 P
25547 P,1,25547 P
25577 P,1,25577 P
25578 M,1,25578 M
25634 P,1,25634 P
25635 M,1,25635 M
25834 M,1,25834 M
25860 P,1,25860 P
25951 P,1,25951 P
25973 M,1,25973 M
26000,1,26000
26362 P,1,26362 P
26690 M,1,26690 M
26845 P,1,26845 P
2700,1,2700
27000,1,27000
27392 P,1,27392 P
27555 M,1,27555 M
27748 P,1,27748 P
28,1,28
2800,2,2800
28188 P,1,28188 P
28308 P,1,28308 P
28509 P,1,28509 P
28993 M,1,28993 M
29025 P,1,29025 P
29102 P,2,29102 P
29104 M,1,29104 M
292 ug/ml Dabigatran,1,292 µg/ml Dabigatran
29330 P,1,29330 P
29354 P,1,29354 P
29520 P,1,29520 P
3,1,3
3 zakken,1,3 pockets
3000,2,3000
31228 P,1,31228 P
3400,1,3400
346.2,1,346.2
350.9,1,350.9
37000,1,37000
