source_concept_id,source_concept,item_en,vocabulary_id,vocabulary_concept_code,vocabulary_concept_name,abbreviation,category,ordercategory,islabresult,count,count_validated,values,source_concept_en
6658,IABP Frequentie,intra-aortic balloon pump frequency,,,,IABP Frequentie,HD-IABP,,0,85460,21254,01:01; 01:02; 01:03; Uit,intra-aortic balloon pump frequency
6671,Hartritme,heart rhythm,LOINC,8884-9,Heart rate rhythm,Ritme,HD-Hartritme,,0,2013206,2013206,NSR; AVblock 1; AVblock 2; AVblock 3; AVblock 2:1; AVblock 3:1; AVBlock 4:1; Compl. blk; PAT-block; ST-depr; Asystolie; Atr Tachy; Atr fib; Atr flut; Junct; PAT; Sinus ari; Sinus arr; Sinus blk; Sinus bra; Sinus Tac; SVT; Ventr arr; VF; VT; >QRS; <ST-segment; >QT-segment; >ST-segment; P.M-ritme; AV-Nodaal; Ventriculair,heart rhythm
6685,Type Beademing Evita 4,mechanical ventilation mode,LOINC,20124-4,Ventilation mode Ventilator,Type Evita 4,ZZ-OUD-Resp-Evita Machinegegevens,,0,44609,40921,CPPV; ASB; CPPV/ASSIST; SIMV/ASB; IPPV; IPPV/ASSIST; CPAP; CPAP/ASB; MMV; MMV/ASB; BIPAP; BIPAP-SIMV/ASB; BIPAP/ASB,mechanical ventilation mode
6732,Actief openen van de ogen,Glasgow Coma Score eye opening subscore,LOINC,9267-6,Glasgow coma score eye opening,E,NEURO-GCS,,0,207667,207667,Spontane reactie; Reactie op verbale prikkel; Reactie op pijnprikkel; Geen reactie,Glasgow Coma Score eye opening subscore
6734,Beste motore reactie van de armen,Glasgow Coma Score motor response subscore,LOINC,9268-4,Glasgow coma score motor,M,NEURO-GCS,,0,198321,198321,Volgt verbale commando's op; Localiseert pijn; Spastische reactie (terugtrekken); Decortatie reflex (abnormaal buigen); Strekken; Geen reactie,Glasgow Coma Score motor response subscore
6735,Beste verbale reactie,Glasgow Coma Score verbal response subscore,LOINC,9270-0,Glasgow coma score verbal,V,NEURO-GCS,,0,206008,206008,"Helder en adequaat (communicatie mogelijk); Verwarde conversatie; Onduidelijke woorden (pogingen tot communicatie, maar onduidelijk); Onbegrijpelijke geluiden; Geen reactie (geen zichtbare poging tot praten); Geïntubeerd",Glasgow Coma Score verbal response subscore
7432,Afnameplaats,specimen source,LOINC,47938-6,Specimen source [Identifier] of Body fluid,Afn.plaats BLG,LAB ASTRUPS,,1,24903,24903,Arterieel; Centrale lijn; PAP; Perifeer veneus; Overig,specimen source
7672,Substitutie vloeistof,CRRT replacement fluid,,,,Substitutie vloeistof,CVVH-Afspraken,,0,3598,3598,BH504; Citraat; HF32bic; BH504/HF32bic,CRRT replacement fluid
7969,RedenStakenCVVH,,,,,RedenStaken,CVVH-Gegevens,,0,1872,1872,"Arteriele druk alarm(catheter!); PV en PBE hoog (gestolde veneuze kamer); PBE en FDP hoog, neg lim. PD2 (stolling filter); TMP verhoogd en neg limiet van PD2 (verzadiging filter); Wrong UF  control (Probeer reset); Herstel nierfunctie; Onderzoek buiten afdeling; Actieve bloeding; Apparaat elders nodig; Technisch probleem; Overig; Operatie; Overleden; Draait 72uur en verzadigde filter",ReasonStakingCVVH
8189,Toedieningsweg,oxygen administration device,LOINC,3152-6,Inhaled oxygen mechanism Dose,Toediening,RESP-O2aanbod,,0,647264,647264,Diep Nasaal; Nasaal; Kapje; Kunstneus; O2-bril; Kinnebak; Nebulizer; Waterset; Trach.stoma; B.Lucht; Ambu; Guedel; DL-tube; CPAP; Non-Rebreathing masker; Spreekcanule; Spreekklepje,oxygen administration device
