source_concept_id,source_concept,count,count_validated,itemid,item,abbreviation,category,islabresult,valueid,source_concept_en
6658-1,01:01,65500,17325,6658,IABP Frequentie,IABP Frequentie,HD-IABP,0,1,01:01
6658-2,01:02,16312,3268,6658,IABP Frequentie,IABP Frequentie,HD-IABP,0,2,01:02
6658-3,01:03,3638,651,6658,IABP Frequentie,IABP Frequentie,HD-IABP,0,3,01:03
6658-4,Uit,10,10,6658,IABP Frequentie,IABP Frequentie,HD-IABP,0,4,Out
6671-1,NSR,1203779,1203779,6671,Hartritme,Ritme,HD-Hartritme,0,1,NSR
6671-2,AVblock 1,20170,20170,6671,Hartritme,Ritme,HD-Hartritme,0,2,AV block 1
6671-3,AVblock 2,1305,1305,6671,Hartritme,Ritme,HD-Hartritme,0,3,AV block 2
6671-4,AVblock 3,1198,1198,6671,Hartritme,Ritme,HD-Hartritme,0,4,AV block 3
6671-5,AVblock 2:1,131,131,6671,Hartritme,Ritme,HD-Hartritme,0,5,AV block 2:1
6671-6,AVblock 3:1,49,49,6671,Hartritme,Ritme,HD-Hartritme,0,6,AV block 3:1
6671-7,AVBlock 4:1,19,19,6671,Hartritme,Ritme,HD-Hartritme,0,7,AVBlock 4:1
6671-8,Compl. blk,182,182,6671,Hartritme,Ritme,HD-Hartritme,0,8,Compl. blk
6671-9,PAT-block,76,76,6671,Hartritme,Ritme,HD-Hartritme,0,9,PAT block
6671-10,ST-depr,115,115,6671,Hartritme,Ritme,HD-Hartritme,0,10,ST depr
6671-11,Asystolie,192,192,6671,Hartritme,Ritme,HD-Hartritme,0,11,Asystole
6671-12,Atr Tachy,1556,1556,6671,Hartritme,Ritme,HD-Hartritme,0,12,Atr Tachy
6671-13,Atr fib,207629,207629,6671,Hartritme,Ritme,HD-Hartritme,0,13,Atr fib
6671-14,Atr flut,14186,14186,6671,Hartritme,Ritme,HD-Hartritme,0,14,Atr flute
6671-15,Junct,2568,2568,6671,Hartritme,Ritme,HD-Hartritme,0,15,Junct
6671-16,PAT,140,140,6671,Hartritme,Ritme,HD-Hartritme,0,16,PAT
6671-17,Sinus ari,4046,4046,6671,Hartritme,Ritme,HD-Hartritme,0,17,Sinus ari
6671-18,Sinus arr,553,553,6671,Hartritme,Ritme,HD-Hartritme,0,18,Sinus arr
6671-19,Sinus blk,68,68,6671,Hartritme,Ritme,HD-Hartritme,0,19,Sine blk
6671-20,Sinus bra,93519,93519,6671,Hartritme,Ritme,HD-Hartritme,0,20,Sinus bra
6671-21,Sinus Tac,394670,394670,6671,Hartritme,Ritme,HD-Hartritme,0,21,Sinus Tac
6671-22,SVT,1967,1967,6671,Hartritme,Ritme,HD-Hartritme,0,22,SVT
6671-23,Ventr arr,127,127,6671,Hartritme,Ritme,HD-Hartritme,0,23,Ventr arr
6671-24,VF,161,161,6671,Hartritme,Ritme,HD-Hartritme,0,24,VF
6671-25,VT,2357,2357,6671,Hartritme,Ritme,HD-Hartritme,0,25,VT
6671-26,>QRS,1080,1080,6671,Hartritme,Ritme,HD-Hartritme,0,26,>QRS
6671-30,<ST-segment,12,12,6671,Hartritme,Ritme,HD-Hartritme,0,30,<ST segment
6671-31,>QT-segment,184,184,6671,Hartritme,Ritme,HD-Hartritme,0,31,>QT segment
6671-32,>ST-segment,71,71,6671,Hartritme,Ritme,HD-Hartritme,0,32,>ST segment
6671-33,P.M-ritme,57210,57210,6671,Hartritme,Ritme,HD-Hartritme,0,33,P.M rhythm
6671-34,AV-Nodaal,3075,3075,6671,Hartritme,Ritme,HD-Hartritme,0,34,AV Nodal
6671-35,Ventriculair,811,811,6671,Hartritme,Ritme,HD-Hartritme,0,35,Ventricular
6685-1,CPPV,118,118,6685,Type Beademing Evita 4,Type Evita 4,ZZ-OUD-Resp-Evita Machinegegevens,0,1,CPPV
6685-3,ASB,213,213,6685,Type Beademing Evita 4,Type Evita 4,ZZ-OUD-Resp-Evita Machinegegevens,0,3,ASB
6685-5,CPPV/ASSIST,73,73,6685,Type Beademing Evita 4,Type Evita 4,ZZ-OUD-Resp-Evita Machinegegevens,0,5,CPPV/ASSIST
6685-6,SIMV/ASB,3,3,6685,Type Beademing Evita 4,Type Evita 4,ZZ-OUD-Resp-Evita Machinegegevens,0,6,SIMV/ASB
6685-8,IPPV,317,235,6685,Type Beademing Evita 4,Type Evita 4,ZZ-OUD-Resp-Evita Machinegegevens,0,8,IPPV
6685-9,IPPV/ASSIST,2438,2020,6685,Type Beademing Evita 4,Type Evita 4,ZZ-OUD-Resp-Evita Machinegegevens,0,9,IPPV/ASSIST
6685-10,CPAP,1731,1525,6685,Type Beademing Evita 4,Type Evita 4,ZZ-OUD-Resp-Evita Machinegegevens,0,10,CPAP
6685-11,CPAP/ASB,26017,23755,6685,Type Beademing Evita 4,Type Evita 4,ZZ-OUD-Resp-Evita Machinegegevens,0,11,CPAP/ASB
6685-12,MMV,11,11,6685,Type Beademing Evita 4,Type Evita 4,ZZ-OUD-Resp-Evita Machinegegevens,0,12,MMV
6685-13,MMV/ASB,94,92,6685,Type Beademing Evita 4,Type Evita 4,ZZ-OUD-Resp-Evita Machinegegevens,0,13,MMV/ASB
6685-14,BIPAP,6518,6246,6685,Type Beademing Evita 4,Type Evita 4,ZZ-OUD-Resp-Evita Machinegegevens,0,14,BIPAP
6685-20,BIPAP-SIMV/ASB,1,1,6685,Type Beademing Evita 4,Type Evita 4,ZZ-OUD-Resp-Evita Machinegegevens,0,20,BIPAP SIMV/ASB
6685-22,BIPAP/ASB,7075,6629,6685,Type Beademing Evita 4,Type Evita 4,ZZ-OUD-Resp-Evita Machinegegevens,0,22,BIPAP/ASB
6732-1,Spontane reactie,103268,103268,6732,Actief openen van de ogen,E,NEURO-GCS,0,1,Spontaneous reaction
6732-2,Reactie op verbale prikkel,47877,47877,6732,Actief openen van de ogen,E,NEURO-GCS,0,2,Response to verbal stimulus
6732-3,Reactie op pijnprikkel,12101,12101,6732,Actief openen van de ogen,E,NEURO-GCS,0,3,Response to painful stimulus
6732-4,Geen reactie,44421,44421,6732,Actief openen van de ogen,E,NEURO-GCS,0,4,No reaction
6734-1,Volgt verbale commando's op,112307,112307,6734,Beste motore reactie van de armen,M,NEURO-GCS,0,1,Follows verbal commands
6734-2,Localiseert pijn,19694,19694,6734,Beste motore reactie van de armen,M,NEURO-GCS,0,2,Localizes pain
6734-3,Spastische reactie (terugtrekken),23361,23361,6734,Beste motore reactie van de armen,M,NEURO-GCS,0,3,Spastic reaction (withdrawal)
6734-4,Decortatie reflex (abnormaal buigen),3368,3368,6734,Beste motore reactie van de armen,M,NEURO-GCS,0,4,Decoration reflex (abnormal bending)
6734-5,Strekken,7128,7128,6734,Beste motore reactie van de armen,M,NEURO-GCS,0,5,Stretch
6734-6,Geen reactie,32463,32463,6734,Beste motore reactie van de armen,M,NEURO-GCS,0,6,No reaction
6735-1,Helder en adequaat (communicatie mogelijk),59420,59420,6735,Beste verbale reactie,V,NEURO-GCS,0,1,Clear and adequate (communication possible)
6735-2,Verwarde conversatie,13303,13303,6735,Beste verbale reactie,V,NEURO-GCS,0,2,Confused conversation
6735-3,"Onduidelijke woorden (pogingen tot communicatie, maar onduidelijk)",3783,3783,6735,Beste verbale reactie,V,NEURO-GCS,0,3,"Unclear words (attempts at communication, but unclear)"
6735-4,Onbegrijpelijke geluiden,9115,9115,6735,Beste verbale reactie,V,NEURO-GCS,0,4,Incomprehensible sounds
6735-5,Geen reactie (geen zichtbare poging tot praten),18623,18623,6735,Beste verbale reactie,V,NEURO-GCS,0,5,No response (no visible attempt to speak)
6735-8,Geïntubeerd,101764,101764,6735,Beste verbale reactie,V,NEURO-GCS,0,8,Intubated
7432-1,Arterieel,24403,24403,7432,Afnameplaats,Afn.plaats BLG,LAB ASTRUPS,1,1,Arterial
7432-2,Centrale lijn,143,143,7432,Afnameplaats,Afn.plaats BLG,LAB ASTRUPS,1,2,Central line
7432-3,PAP,335,335,7432,Afnameplaats,Afn.plaats BLG,LAB ASTRUPS,1,3,DAD
7432-4,Perifeer veneus,12,12,7432,Afnameplaats,Afn.plaats BLG,LAB ASTRUPS,1,4,Peripheral venous
7432-5,Overig,10,10,7432,Afnameplaats,Afn.plaats BLG,LAB ASTRUPS,1,5,Other
7672-1,BH504,1403,1403,7672,Substitutie vloeistof,Substitutie vloeistof,CVVH-Afspraken,0,1,BH504
7672-2,Citraat,1441,1441,7672,Substitutie vloeistof,Substitutie vloeistof,CVVH-Afspraken,0,2,Citrate
7672-4,HF32bic,674,674,7672,Substitutie vloeistof,Substitutie vloeistof,CVVH-Afspraken,0,4,HF32bic
7672-6,BH504/HF32bic,80,80,7672,Substitutie vloeistof,Substitutie vloeistof,CVVH-Afspraken,0,6,BH504/HF32bic
7969-1,Arteriele druk alarm(catheter!),186,186,7969,RedenStakenCVVH,RedenStaken,CVVH-Gegevens,0,1,Arterial pressure alarm (catheter!)
7969-2,PV en PBE hoog (gestolde veneuze kamer),396,396,7969,RedenStakenCVVH,RedenStaken,CVVH-Gegevens,0,2,PV and PBE high (clotted venous chamber)
7969-3,"PBE en FDP hoog, neg lim. PD2 (stolling filter)",524,524,7969,RedenStakenCVVH,RedenStaken,CVVH-Gegevens,0,3,"PBE and FDP high, neg lim. PD2 (clotting filter)"
7969-4,TMP verhoogd en neg limiet van PD2 (verzadiging filter),225,225,7969,RedenStakenCVVH,RedenStaken,CVVH-Gegevens,0,4,TMP increased and neg limit of PD2 (filter saturation)
7969-6,Wrong UF  control (Probeer reset),1,1,7969,RedenStakenCVVH,RedenStaken,CVVH-Gegevens,0,6,Wrong UF control (Try reset)
7969-7,Herstel nierfunctie,34,34,7969,RedenStakenCVVH,RedenStaken,CVVH-Gegevens,0,7,Restore kidney function
7969-8,Onderzoek buiten afdeling,38,38,7969,RedenStakenCVVH,RedenStaken,CVVH-Gegevens,0,8,Research outside department
7969-9,Actieve bloeding,3,3,7969,RedenStakenCVVH,RedenStaken,CVVH-Gegevens,0,9,Active bleeding
7969-10,Apparaat elders nodig,13,13,7969,RedenStakenCVVH,RedenStaken,CVVH-Gegevens,0,10,Device needed elsewhere
