source_concept_id,source_concept,item_en,vocabulary_id,vocabulary_concept_code,vocabulary_concept_name,abbreviation,categoryid,category,category_en,ordercategoryid,ordercategory,islabresult,valueid,value,unitid,unit,ucum_code,low_normal_value,high_normal_value,expected_min_value,expected_max_value,table,count,count_validated,source_concept_en
6767,Antithrombine III,,,,,ATIII,377,LAB STOLLING,,,,1,,,0,None,,87,125,,,numericitems,2,2,Antithrombin III
6768,Basofielen,,,,,Basofielen,370,LAB HEMATOLOGIE,,,,1,,,0,None,,0,1,,,numericitems,36,36,Basophils
6771,Cephalinetyd,,,,,CT/APTT,377,LAB STOLLING,,,,1,,,3,sec,s,30,40,,,numericitems,5975,5975,Cephaline timed
6772,Eos Abs Tel,,,,,EoAbs,370,LAB HEMATOLOGIE,,,,1,,,0,None,,0,600,,,numericitems,3,3,Eos Abs Tel
6773,Eosinofielen,,,,,Eosinofielen,370,LAB HEMATOLOGIE,,,,1,,,0,None,,1,4,,,numericitems,44,44,Eosinophils
6774,Erythrocyten,,,,,Erythrocyten,370,LAB HEMATOLOGIE,,,,1,,,53,10^12/l,10*12/L,4,"5,5",,,numericitems,251,251,Erythrocytes
6775,FibrAfbrProd,,,,,FDP,370,LAB HEMATOLOGIE,,,,1,,,64,mg/dl,mg/dL,0,1,,,numericitems,2,2,FibrAfbrProd
6776,Fibrinogeen,,,,,Fibrinogeen,370,LAB HEMATOLOGIE,,,,1,,,62,g/l,g/L,"2,5","4,5",,,numericitems,35,35,Fibrinogen
6777,Hematocriet,hematocrit,LOINC,20570-8,Hematocrit [Volume Fraction] of Blood,Ht,370,LAB HEMATOLOGIE,,,,1,,,8,l,L,"0,35","0,5",,,numericitems,7511,7511,hematocrit
6778,Hemoglobine,hemoglobin,LOINC,59260-0,Hemoglobin [Moles/volume] in Blood],Hb,370,LAB HEMATOLOGIE,,,,1,,,97,mmol/l,mmol/L,"7,5",11,,,numericitems,7603,7603,hemoglobin
6779,Leucocyten,white blood cell count,LOINC,26464-8,Leukocytes [#/volume] in Blood,Leucocyten,370,LAB HEMATOLOGIE,,,,1,,,101,10^9/l,10*9/L,4,10,,,numericitems,6474,6474,white blood cell count
