source_concept_id,source_concept,item_en,vocabulary_id,vocabulary_concept_code,vocabulary_concept_name,abbreviation,categoryid,category,category_en,ordercategoryid,ordercategory,islabresult,valueid,value,unitid,unit,ucum_code,low_normal_value,high_normal_value,expected_min_value,expected_max_value,table,count,count_validated,source_concept_en
6637,Opname gewicht,,,,,GewichtOpname,466,Patientenbestandparameters,,,,0,,,12,kg,kg,,,,,numericitems,2609,2609,Recording weight
6638,Huidig gewicht,,,,,GewichtX,328,OLGV-OUD,,,,0,,,12,kg,kg,,,,,numericitems,2751,2751,Current weight
6640,Hartfrequentie,heart rate,LOINC,76282-3,Heart rate.beat-to-beat by EKG,HF,320,HD-Hartritme,hemodynamics-heart rhythm,,,0,,,15,/min,/min,80,120,1,250,numericitems,37732398,2218626,heart rate
6641,ABP systolisch,invasive systolic arterial pressure,LOINC,76215-3,Invasive Systolic blood pressure,ABPs,323,HD-Bloeddrukken,hemodynamics-blood pressures,,,0,,,173,mmHg,mm[Hg],80,160,40,250,numericitems,33343613,2109758,invasive systolic arterial pressure
6642,ABP gemiddeld,invasive mean arterial pressure,LOINC,76214-6,Invasive Mean blood pressure,ABPm,323,HD-Bloeddrukken,hemodynamics-blood pressures,,,0,,,173,mmHg,mm[Hg],50,120,30,250,numericitems,33352770,2109165,invasive mean arterial pressure
6643,ABP diastolisch,invasive diastolic arterial pressure,LOINC,76213-8,Invasive Diastolic blood pressure,ABPd,323,HD-Bloeddrukken,hemodynamics-blood pressures,,,0,,,173,mmHg,mm[Hg],40,100,20,150,numericitems,33343274,2109346,invasive diastolic arterial pressure
6644,PAP systolisch,pulmonary artery systolic pressure,LOINC,8440-0,Pulmonary artery Systolic blood pressure,PAPs,325,HD-Profiel,hemodynamic profile,,,0,,,173,mmHg,mm[Hg],,,0,100,numericitems,1818402,194505,pulmonary artery systolic pressure
6645,PAP gemiddeld,pulmonary artery mean pressure,LOINC,8414-5,Pulmonary artery Mean blood pressure,PAPm,325,HD-Profiel,hemodynamic profile,,,0,,,173,mmHg,mm[Hg],15,25,0,80,numericitems,1819309,194406,pulmonary artery mean pressure
6646,PAP diastolisch,pulmonary artery diastolic pressure,LOINC,8385-7,Pulmonary artery Diastolic blood pressure,PAPd,325,HD-Profiel,hemodynamic profile,,,0,,,173,mmHg,mm[Hg],,,0,100,numericitems,1811489,194246,pulmonary artery diastolic pressure
6655,CVD,central venous pressure (CVP),LOINC,60985-9,Central venous pressure (CVP),CVD,323,HD-Bloeddrukken,hemodynamics-blood pressures,,,0,,,173,mmHg,mm[Hg],-1,40,-10,40,numericitems,483942,483940,central venous pressure (CVP)
6656,Cardiac Output,cardiac output,LOINC,8741-1,Left ventricular Cardiac output,CO,325,HD-Profiel,hemodynamic profile,,,0,,,26,l/min,L/min,,,0,17,numericitems,52738,50371,cardiac output
6657,PCWP wedge,pulmonary capillary wedge pressure,LOINC,75994-4,Pulmonary artery wedge pressure,PCWP,325,HD-Profiel,hemodynamic profile,,,0,,,173,mmHg,mm[Hg],,,0,40,numericitems,53751,52586,pulmonary capillary wedge pressure
6664,ST segment analyse afleiding I,,,,,STI,328,OLGV-OUD,,,,0,,,51,mm,mm,,,,,numericitems,28316202,0,ST segment analysis lead I
6665,ST segment analyse afleiding II,,,,,STII,328,OLGV-OUD,,,,0,,,51,mm,mm,,,,,numericitems,29972870,0,ST Segment Analysis Lead II
6666,ST segment analyse afleiding,,,,,STIII,328,OLGV-OUD,,,,0,,,51,mm,mm,,,,,numericitems,29124627,0,ST segment analysis derivation
6667,ST segment analyse afleiding AVR,,,,,STavr,328,OLGV-OUD,,,,0,,,51,mm,mm,,,,,numericitems,24277363,0,ST segment analysis lead AVR
6668,ST segment analyse afleiding AVF,,,,,STavf,328,OLGV-OUD,,,,0,,,51,mm,mm,,,,,numericitems,24277363,0,ST segment analysis lead AVF
6669,ST segment analyse afleiding AVL,,,,,STavl,328,OLGV-OUD,,,,0,,,51,mm,mm,,,,,numericitems,24277328,0,ST segment analysis lead AVL
6670,ST segment analyse afleiding V1,,,,,STv1,328,OLGV-OUD,,,,0,,,51,mm,mm,,,,,numericitems,21016022,0,ST segment analysis lead V1
6672,ST segment analyse afleiding V2,,,,,STv2,328,OLGV-OUD,,,,0,,,51,mm,mm,,,,,numericitems,20795846,0,ST segment analysis lead V2
6673,ST segment analyse afleiding V3,,,,,STv3,328,OLGV-OUD,,,,0,,,51,mm,mm,,,,,numericitems,20797797,0,ST segment analysis lead V3
6674,ST segment analyse afleiding V4,,,,,STv4,328,OLGV-OUD,,,,0,,,51,mm,mm,,,,,numericitems,20768159,0,ST segment analysis lead V4
6675,ST segment analyse afleiding V5,,,,,STv5,328,OLGV-OUD,,,,0,,,51,mm,mm,,,,,numericitems,20734499,0,ST Segment Analysis Lead V5
6676,ST segment analyse afleiding V6,,,,,STv6,328,OLGV-OUD,,,,0,,,51,mm,mm,,,,,numericitems,20555806,0,ST Segment Analysis Lead V6
6678,Niet invasieve bloeddruk systolisch,non-invasive systolic arterial pressure,LOINC,76534-7,Systolic blood pressure by Noninvasive,NIBPs,323,HD-Bloeddrukken,hemodynamics-blood pressures,,,0,,,173,mmHg,mm[Hg],,,40,250,numericitems,192123,123684,non-invasive systolic arterial pressure
6679,Niet invasieve bloeddruk gemiddeld,non-invasive mean arterial pressure,LOINC,76536-2,Mean blood pressure by Noninvasive,NIBPm,323,HD-Bloeddrukken,hemodynamics-blood pressures,,,0,,,173,mmHg,mm[Hg],,,30,150,numericitems,190760,122240,non-invasive mean arterial pressure
6680,Niet invasieve bloeddruk diastolisch,non-invasive diastolic arterial pressure,LOINC,76535-4,Diastolic blood pressure by Noninvasive,NIBPd,323,HD-Bloeddrukken,hemodynamics-blood pressures,,,0,,,173,mmHg,mm[Hg],,,20,150,numericitems,190431,122297,non-invasive diastolic arterial pressure
6684,Vloeistofvolume ingesteld,,,,,Vloeistofvolume ingesteld,351,CVVH-Instellingen,,,,0,,,6,ml,mL,,,,,numericitems,68150,57157,Fluid volume set
6694,Eind exp. druk,positive end expiratory pressure measurement,LOINC,76248-4,PEEP Respiratory system --on ventilator,PEEP,586,RESP-Servo Patiëntgegevens,,,,0,,,175,cmH2O,cm[H2O],,,,,numericitems,15624081,1278830,positive end expiratory pressure measurement
6696,Maagretentie,,,,,MaagRetentie,265,Gastro-intestinaal,,,,0,,,6,ml,mL,,,,,numericitems,1,1,Stomach retention
6698,PIP,,,,,PIP,591,RESP-Bipap Vision Patiëntgegevens,,,,0,,,175,cmH2O,cm[H2O],,,,,numericitems,93,93,PIP
6699,FiO2 %,inspired oxygen concentration setting,LOINC,19994-3,Oxygen/Inspired gas setting [Volume Fraction] Ventilator,FiO2%,329,RESP-O2aanbod,,,,0,,,191,Geen,,,,,,numericitems,91881,83474,inspired oxygen concentration setting
6707,End tidal CO2 concentratie,end tidal carbon dioxide partial pressure,LOINC,19891-1,Carbon dioxide [Partial pressure] in Exhaled gas --at end expiration,EtCO2,586,RESP-Servo Patiëntgegevens,,,,0,,,173,mmHg,mm[Hg],,,,,numericitems,10327178,666550,end tidal carbon dioxide partial pressure
