source_concept_id,source_concept,ordercategoryid,ordercategoryname,count,source_concept_en
7921,ECG,81,Opdr. Circulatie,14480,ECG
7922,X-Thorax,82,Opdr. Respiratie,11028,Chest X-ray
7928,Uitzuigen,82,Opdr. Respiratie,1527,Suction
7949,Filter CVVH wisselen,105,Opdr. CVVH,1376,Change filter CVVH
8002,Beademingsslangen  vervangen,90,Opdr. Lijnen/Catheter/Drains,2688,Replace breathing tubes
8029,CTScan,103,Opdr. Radiologie,89,CT-scan
8030,PleuraSpoelen,89,Opdr. Overig,29,PleuraRinse
8094,Vancomycinespiegel afnemen,73,Opdr. Laboratorium afname,2676,Decrease vancomycin level
8097,Sputumkweek afnemen,74,Opdr. Kweken afnemen,10397,Take a sputum culture
8101,Digoxinespiegel afnemen,73,Opdr. Laboratorium afname,155,Decrease digoxin level
8109,Decubitus controle,101,Opdr. Huid,1117,Pressure ulcer control
8131,Familie gesprek,86,Opdr. Psycho-sociaal,6429,Family conversation
8177,Buikwond spoelen,101,Opdr. Huid,936,Rinse abdominal wound
8228,Patiënt wegen,89,Opdr. Overig,3373,Weigh the patient
8269,Infuus verschonen,90,Opdr. Lijnen/Catheter/Drains,16,Change IV
8418,Urinekweek afnemen,74,Opdr. Kweken afnemen,504,Take a urine culture
8477,Afnemen vpk anamnse,89,Opdr. Overig,17,Taking a primary care history
8490,Maagsonde vervangen,90,Opdr. Lijnen/Catheter/Drains,1266,Replace gastric tube
8491,CAD vervangen,90,Opdr. Lijnen/Catheter/Drains,124,CAD replaced
8502,Cardiac Output meten,81,Opdr. Circulatie,189,Measure cardiac output
8503,Neuro controles,83,Opdr. Neurologisch,31725,Neuro controls
8538,X-Buikoverzicht,103,Opdr. Radiologie,96,X-Abdomen overview
8540,CT scan abdomen,103,Opdr. Radiologie,73,CT scan abdomen
8542,CT scan brein,83,Opdr. Neurologisch,110,CT scan brain
8543,CT scan thorax,82,Opdr. Respiratie,72,CT scan thorax
8544,Cortisol afnemen,73,Opdr. Laboratorium afname,1397,Decrease cortisol
8545,Temperatuur opnemen,81,Opdr. Circulatie,221,Take temperature
8548,Schrijven VPK ontslagrapport,89,Opdr. Overig,32,Writing VPK dismissal report
8588,MRSA kweken afnemen,74,Opdr. Kweken afnemen,71,Collect MRSA cultures
8617,Aderlaten,89,Opdr. Overig,8,Bloodletting
9183,Verwijderen Lijn/Catheter/Drain,90,Opdr. Lijnen/Catheter/Drains,482,Remove Line/Catheter/Drain
9189,Bloedkweken afnemen,74,Opdr. Kweken afnemen,5439,Take blood cultures
9190,Cathetertipkweek afnemen,74,Opdr. Kweken afnemen,645,Collect catheter tip culture
9191,Drainvochtkweek afnemen,74,Opdr. Kweken afnemen,205,Take a drain culture
9192,Faeceskweek afnemen,74,Opdr. Kweken afnemen,782,Take a stool culture
9193,X-Kweek nader te bepalen,74,Opdr. Kweken afnemen,706,X-Breeding to be determined later
9194,Liquorkweek afnemen,74,Opdr. Kweken afnemen,1084,Take liquor culture
9195,Neuskweek afnemen,74,Opdr. Kweken afnemen,56,Take a nasal culture
9197,Perineumkweek afnemen,74,Opdr. Kweken afnemen,6,Take a perineal culture
9198,Rectumkweek afnemen,74,Opdr. Kweken afnemen,25,Take a rectal culture
9200,Wondkweek afnemen,74,Opdr. Kweken afnemen,318,Take wound cultures
9202,Ascitesvochtkweek afnemen,74,Opdr. Kweken afnemen,43,Take an ascitic fluid culture
