source_concept_id,source_concept,count,source_concept_en
13422,Trauma catheter Jugularis,433,Trauma catheter Jugularis
9437,ICP- acceptatiewaarden,62,ICP acceptance values
21091,ECMO canule arterieel,2,ECMO cannula arterial
9400,Wonddrain 2,2387,Wound drain 2
9166,Trilumen Jugularis,10578,Trilumen Jugularis
10761,Sengstaken,9,Sengstaken
21093,Bypass canule (art femoralis),1,Bypass cannula (art femoralis)
9541,Pacemakerdraden,2452,Pacemaker leads
15143,X-Proces Voeding,110,X-Process Power Supply
9162,Dialyselijn Jugularis,520,Jugularis dialysis line
9481,Tractie,29,Traction
18737,Pacedraden via Swan Ganz,5,Pacing wires via Swan Ganz
12936,Streef PT/CT,558,Pursue PT/CT
15869,Druppel/Contactisolatie,47,Drop/Contact Isolation
7926,Mobiliseren,313,Mobilize
10618,Xx-Niet meer gebruikenTracheostoma (Bivona)(= Proces Tracheostoma),1,Xx-Do not use anymoreTracheostomy (Bivona)(= Process Tracheostomy)
9180,Epiduraal catheter,704,Epidural catheter
9422,Perifeer infuus,39480,Peripheral drip
9595,Enkel lumen Jugularis,44,Single lumen Jugularis
9524,Plat liggend verplegen,59,Nursing lying flat
13035,Spinaaldrain,37,Spinal drain
12579,Galdrain,102,Galdrain
12465,CVVH,5355,CVVH
9164,IABP femoralis,89,IABP femoralis
12399,Duo lumen Femoralis,14,Duo lumen Femoralis
18806,Alleen bestraald bloed geven,7,Only give irradiated blood
18741,Gips,64,Cast
9406,Spoeldrain 1,125,Rinse drain 1
19734,Harde halskraag,112,Hard collar
9495,Strikte isolatie 1,58,Strict isolation 1
15868,Druppelisolatie,28,Drip insulation
13810,Fixatuur externe bekken,46,External pelvic fixation
9601,Drukverband,551,Compression bandage
9613,Hotline gebruiken,22,Use hotline
14834,Hypothermie koelfase,155,Hypothermia cooling phase
12539,Arteriële sheet,463,Arterial sheet
13005,Rectum Canule,95,Rectal Cannula
19652,Fixatuur externe bovenarm rechts,1,Fixture external upper arm right
12427,Spoeldrain 2,7,Rinse drain 2
9594,Enkel lumen Femoralis,31,Single lumen Femoralis
12540,Veneuze sheet,206,Venous sheet
14953,Hypothermie onderhoud- & opwarmfase,6,Hypothermia maintenance & warm-up phase
15787,Dubbelloops Stoma,9,Double loop stoma
19888,TR-band,102,TR band
12634,Tube,15040,Tube
9412,Urostoma,154,Urostomy
9401,Wonddrain 3,524,Wound drain 3
9380,X-Proces Gastro-Intestinaal,260,X-Process Gastrointestinal
9325,Weanen,374,Weanen
9323,Wisselligging geven,76,Provide change of location
9414,Roteren bed,18,Rotate bed
9625,PCA-pomp,320,PCA pump
16358,Botnaald,108,Bone needle
9454,Hoofdsteun max. 30 graden,45,Headrest max. 30 degrees
16910,ICD,32,ICD
13806,Fixatuur externe bovenbeen links,21,Fixature external upper leg left
9168,Quad lumen Femoralis,917,Quad lumen Femoralis
15171,Aërogene isolatie 1,19,Aerogenic insulation 1
9387,X-Proces Respiratie,310,X-Process Respiration
9160,Arterielijn Femoralis,1260,Femoral artery line
9182,Cisternale drain,12,Cisternal drain
9384,X-Proces Neurologisch,265,X-Process Neurological
9383,X-Proces Infectie,26,X-Process Infection
9523,Hechtingen,102,Stitches
9430,Anti-trendelenburg,7,Anti-Trendelenburg
9457,Niet uitzuigen,10,Do not suction
15147,Dieet - Gemalen eten,49,Diet - Ground food
15144,Dieet - 40cc/uur,207,Diet - 40cc/hour
15738,Spreekklep,435,Speaking valve
15870,Beschermende isolatie,14,Protective insulation
9514,Niet nasaal uitzuigen,248,Do not suction nasally
19986,Contactisolatie 1 extra maatregelen,62,Contact isolation 1 additional measures
10730,Jejuno-stoma,171,Jejunostomy
9188,X-Proces Lijnen/Catheter/Drain,591,X-Process Lines/Catheter/Drain
10740,Beademen non-invasief,1783,Non-invasive ventilation
9185,Sideport,139,Sideport
19651,Fixatuur externe bovenarm links,2,Fixture external upper arm left
15793,Faeces collector,516,Faeces collector
9373,Niets per os,946,Nothing per os
21187,Enkel-Lumen Perifeer centrale catheter (PICC),4,Single-Lumen Peripheral Central Catheter (PICC)
13423,Trauma catheter Subclavia,42,Subclavian trauma catheter
10428,Xx-Niet meer gebruiken(Microsonde=Proces Sonde),131,Xx-Do not use again(Microprobe=Process Probe)
9410,Koelen patiënt (Actief),1251,Patient cooling (Active)
9544,NDT-systeem,258,NDT system
13173,Fixatie (fixeren),1777,Fixation (fixing)
9521,Opwarmen (Passief uitwendig),281,Warming up (Passive external)
9538,Xx-Niet meer gebruiken PEG-sonde(=Proces Sonde),21,Xx-Do not use PEG probe again (=Process probe)
15146,Dieet - Dik vloeibaar,614,Diet - Thick liquid
20664,ECMO,2,ECMO
