source_concept_id,source_concept,count,count_validated,itemid,item,abbreviation,category,islabresult,valueid,source_concept_en
13116-1,CABG,5864,5864,13116,D_Thoraxchirurgie_CABG en Klepchirurgie,D_Thoraxchirurgie_CABG en Klepchirurgie,Diagnose,0,1,CABG
13116-2,CABG re,81,81,13116,D_Thoraxchirurgie_CABG en Klepchirurgie,D_Thoraxchirurgie_CABG en Klepchirurgie,Diagnose,0,2,CABG re
13116-3,AVR,2468,2468,13116,D_Thoraxchirurgie_CABG en Klepchirurgie,D_Thoraxchirurgie_CABG en Klepchirurgie,Diagnose,0,3,AVR
13116-4,AVR re,89,89,13116,D_Thoraxchirurgie_CABG en Klepchirurgie,D_Thoraxchirurgie_CABG en Klepchirurgie,Diagnose,0,4,AVR re
13116-5,MVR,483,483,13116,D_Thoraxchirurgie_CABG en Klepchirurgie,D_Thoraxchirurgie_CABG en Klepchirurgie,Diagnose,0,5,MVR
13116-6,MVR re,25,25,13116,D_Thoraxchirurgie_CABG en Klepchirurgie,D_Thoraxchirurgie_CABG en Klepchirurgie,Diagnose,0,6,MVR re
13116-7,MVP,575,575,13116,D_Thoraxchirurgie_CABG en Klepchirurgie,D_Thoraxchirurgie_CABG en Klepchirurgie,Diagnose,0,7,MVP
13116-8,Tricuspidalis chirurgie,26,26,13116,D_Thoraxchirurgie_CABG en Klepchirurgie,D_Thoraxchirurgie_CABG en Klepchirurgie,Diagnose,0,8,Tricuspid surgery
13116-10,Gecombineerde hartchirurgie,2099,2099,13116,D_Thoraxchirurgie_CABG en Klepchirurgie,D_Thoraxchirurgie_CABG en Klepchirurgie,Diagnose,0,10,Combined cardiac surgery
13116-11,Diagnose anders,109,109,13116,D_Thoraxchirurgie_CABG en Klepchirurgie,D_Thoraxchirurgie_CABG en Klepchirurgie,Diagnose,0,11,Diagnosis different
13116-12,CABG (Off pump),908,908,13116,D_Thoraxchirurgie_CABG en Klepchirurgie,D_Thoraxchirurgie_CABG en Klepchirurgie,Diagnose,0,12,CABG (Off pump)
13116-13,CABG re (Off pump),7,7,13116,D_Thoraxchirurgie_CABG en Klepchirurgie,D_Thoraxchirurgie_CABG en Klepchirurgie,Diagnose,0,13,CABG re (Off pump)
13117-1,ASD,4,4,13117,D_Thoraxchirurgie_Cardio anders,D_Thoraxchirurgie_Cardio anders,Diagnose,0,1,ASD
13117-2,VSD,15,15,13117,D_Thoraxchirurgie_Cardio anders,D_Thoraxchirurgie_Cardio anders,Diagnose,0,2,VSD
13117-4,VSR na infarct,53,53,13117,D_Thoraxchirurgie_Cardio anders,D_Thoraxchirurgie_Cardio anders,Diagnose,0,4,VSR after infarction
13117-5,Aneurysmectomie,4,4,13117,D_Thoraxchirurgie_Cardio anders,D_Thoraxchirurgie_Cardio anders,Diagnose,0,5,Aneurysmectomy
13117-6,Vrije wand ruptuur,40,40,13117,D_Thoraxchirurgie_Cardio anders,D_Thoraxchirurgie_Cardio anders,Diagnose,0,6,Free wall rupture
13117-7,Assist Device,8,8,13117,D_Thoraxchirurgie_Cardio anders,D_Thoraxchirurgie_Cardio anders,Diagnose,0,7,Assist Device
13117-8,Ontlasting pericardeffusie,140,140,13117,D_Thoraxchirurgie_Cardio anders,D_Thoraxchirurgie_Cardio anders,Diagnose,0,8,Stool pericardial effusion
13117-9,Pericardectomie,23,23,13117,D_Thoraxchirurgie_Cardio anders,D_Thoraxchirurgie_Cardio anders,Diagnose,0,9,Pericardectomy
13117-10,AF ablatie,16,16,13117,D_Thoraxchirurgie_Cardio anders,D_Thoraxchirurgie_Cardio anders,Diagnose,0,10,AF ablation
13117-12,Diagnose anders,626,626,13117,D_Thoraxchirurgie_Cardio anders,D_Thoraxchirurgie_Cardio anders,Diagnose,0,12,Diagnosis different
13118-1,Aorta-wortel vervanging,36,36,13118,D_Thoraxchirurgie_Aorta chirurgie,D_Thoraxchirurgie_Aorta chirurgie,Diagnose,0,1,Aortic root replacement
13118-2,Aorta-ascendens vervanging,268,268,13118,D_Thoraxchirurgie_Aorta chirurgie,D_Thoraxchirurgie_Aorta chirurgie,Diagnose,0,2,Aortic ascendant replacement
13118-3,Aorta-boog vervanging,189,189,13118,D_Thoraxchirurgie_Aorta chirurgie,D_Thoraxchirurgie_Aorta chirurgie,Diagnose,0,3,Aortic arch replacement
13118-4,Aorta-descendens vervanging,11,11,13118,D_Thoraxchirurgie_Aorta chirurgie,D_Thoraxchirurgie_Aorta chirurgie,Diagnose,0,4,Aortic descending replacement
13118-5,Bentall,400,400,13118,D_Thoraxchirurgie_Aorta chirurgie,D_Thoraxchirurgie_Aorta chirurgie,Diagnose,0,5,Bentall
13118-6,Thoraco-abdominale aorta vervanging,52,52,13118,D_Thoraxchirurgie_Aorta chirurgie,D_Thoraxchirurgie_Aorta chirurgie,Diagnose,0,6,Thoraco-abdominal aortic replacement
13118-7,Endovasculaire stent plaatsing,93,93,13118,D_Thoraxchirurgie_Aorta chirurgie,D_Thoraxchirurgie_Aorta chirurgie,Diagnose,0,7,Endovascular stent placement
13118-8,Dissectie,116,116,13118,D_Thoraxchirurgie_Aorta chirurgie,D_Thoraxchirurgie_Aorta chirurgie,Diagnose,0,8,Dissection
13118-9,Diagnose anders,52,52,13118,D_Thoraxchirurgie_Aorta chirurgie,D_Thoraxchirurgie_Aorta chirurgie,Diagnose,0,9,Diagnosis different
13119-1,Segment/Sleeve resectie,34,34,13119,D_Thoraxchirurgie_Pulmonale chirurgie,D_Thoraxchirurgie_Pulmonale chirurgie,Diagnose,0,1,Segment/Sleeve resection
13119-2,(bi)Lobectomie,371,371,13119,D_Thoraxchirurgie_Pulmonale chirurgie,D_Thoraxchirurgie_Pulmonale chirurgie,Diagnose,0,2,(bi)Lobectomy
13119-3,Pneumectomie,94,94,13119,D_Thoraxchirurgie_Pulmonale chirurgie,D_Thoraxchirurgie_Pulmonale chirurgie,Diagnose,0,3,Pneumectomy
13119-4,Pleurectomie,48,48,13119,D_Thoraxchirurgie_Pulmonale chirurgie,D_Thoraxchirurgie_Pulmonale chirurgie,Diagnose,0,4,Pleurectomy
13119-5,Video Assist Thoracoscopie,10,10,13119,D_Thoraxchirurgie_Pulmonale chirurgie,D_Thoraxchirurgie_Pulmonale chirurgie,Diagnose,0,5,Video Assist Thoracoscopy
13119-7,Mediastinitis,5,5,13119,D_Thoraxchirurgie_Pulmonale chirurgie,D_Thoraxchirurgie_Pulmonale chirurgie,Diagnose,0,7,Mediastinitis
13119-8,Overige thoraxchirurgie,567,567,13119,D_Thoraxchirurgie_Pulmonale chirurgie,D_Thoraxchirurgie_Pulmonale chirurgie,Diagnose,0,8,Other thoracic surgery
13119-9,Diagnose anders,197,197,13119,D_Thoraxchirurgie_Pulmonale chirurgie,D_Thoraxchirurgie_Pulmonale chirurgie,Diagnose,0,9,Diagnosis different
13120-1,Vaatchirurgie abdominaal,1007,1007,13120,D_Algemene chirurgie_Vaatchirurgie,D_Algemene chirurgie_Vaatchirurgie,Diagnose,0,1,Abdominal vascular surgery
13120-2,Thoraco-abdominale aorta vervanging,373,373,13120,D_Algemene chirurgie_Vaatchirurgie,D_Algemene chirurgie_Vaatchirurgie,Diagnose,0,2,Thoraco-abdominal aortic replacement
13120-3,Vaatchirurgie perifeer,349,349,13120,D_Algemene chirurgie_Vaatchirurgie,D_Algemene chirurgie_Vaatchirurgie,Diagnose,0,3,Peripheral vascular surgery
13120-4,Embolectomie/trombolyse,237,237,13120,D_Algemene chirurgie_Vaatchirurgie,D_Algemene chirurgie_Vaatchirurgie,Diagnose,0,4,Embolectomy/thrombolysis
13120-5,Observatie aneurysma,108,108,13120,D_Algemene chirurgie_Vaatchirurgie,D_Algemene chirurgie_Vaatchirurgie,Diagnose,0,5,Observation aneurysm
13120-6,EVAR,518,518,13120,D_Algemene chirurgie_Vaatchirurgie,D_Algemene chirurgie_Vaatchirurgie,Diagnose,0,6,EVAR
13120-7,PTCA (perifere vaten),3,3,13120,D_Algemene chirurgie_Vaatchirurgie,D_Algemene chirurgie_Vaatchirurgie,Diagnose,0,7,PTCA (peripheral vessels)
13120-8,Overige (niet operatief),130,130,13120,D_Algemene chirurgie_Vaatchirurgie,D_Algemene chirurgie_Vaatchirurgie,Diagnose,0,8,Other (non-operative)
13120-9,Diagnose anders,417,417,13120,D_Algemene chirurgie_Vaatchirurgie,D_Algemene chirurgie_Vaatchirurgie,Diagnose,0,9,Diagnosis different
